func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,ncall,avg_neval,chi2,Q,run_num
f2,8,15,10000000,0.33334104754793326,2.9037188413709578e-05,22958.798315931694,75.557,25.215,7440,9882516.0,6.252729315337851,0.7143817990198942,3
f2,6,15,10000000,1.0010311114474806,0.0025072857608390087,0.4112460827502736,59.669,19.338,7260,9653618.0,8.857478415557027,0.4505329809401023,3
f2,4,15,10000000,1.0001786109988156,0.00033469525015416505,0.5336526249873076,47.273,15.508,7500,9967008.0,3.4990797645330365,0.9411931340053393,3
f2,2,15,10000000,1.0000077909171394,5.629735458987638e-06,1.3838868977386145,30.587,10.339,7275,9680000.0,5.702072239088428,0.769326015403398,3
