func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,ncall,avg_neval,chi2,Q,run_num
f3,8,15,10000000,57.183401345932104,45.621950276386464,1.2314993332280264,72.933,24.809,7440,9882516.0,25.215474542644543,0.0027418446348181913,3
f3,6,15,10000000,0.37478524405645364,0.742479351565664,0.8420634925741138,55.329,18.445,7260,9653618.0,10.342810070403957,0.323452175370164,3
f3,4,15,10000000,0.9863634426455201,0.006982263342909665,1.9530282209031127,42.345,14.123,7500,9967008.0,13.77165622669071,0.13068285142548497,3
f3,2,15,10000000,1.0000066474603353,6.689153071956578e-06,0.9937671127851453,28.428,9.484,7275,9680000.0,4.63489726752739,0.8649039392246984,3
