func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f1,8,150,10000000,0.7271242939114728,2.720419194803147e-05,10030.64919589618,252.449,11.148,268096111.8590072,0.0,1
f1,6,150,10000000,1.0000304928602397,2.6053247223981686e-05,1.1704053616639996,193.757,6.497,145.45791721914998,0.4503076369832901,1
f1,4,150,10000000,0.9999975354014007,2.0149312895900836e-05,0.12231675650924938,145.07,4.916,149.29344717072635,0.3641622496373039,1
f1,2,150,10000000,0.9999889938586344,1.3632490285655825e-05,0.8073463567549518,83.563,2.885,149.65626895438703,0.35636125804306873,1
