ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc
2,10000,0.911670302240339,0.27597673550184465,0.046874284744262695,0.007978677749633789,1,0.15
2,100000,1.0284999860503132,0.10014214280169376,0.001994609832763672,0.0009975433349609375,1,0.33
2,1000000,1.0092119804044506,0.03131727090572915,0.012964725494384766,0.006981611251831055,1,0.35
2,10000000,0.9975750010511119,0.009730707616258464,0.13763189315795898,0.05585026741027832,1,0.29
4,10000,0.5873688984268423,2.551648909475836,0.011968135833740234,0.005984067916870117,1,0.33
4,100000,0.958636977387216,3.2656646417093995,0.002991914749145508,0.000997781753540039,1,0.25
4,1000000,1.0118814961067308,1.0304788087941907,0.027924776077270508,0.006981611251831055,1,0.2
4,10000000,1.0046896782318198,0.32461422600769374,0.2732686996459961,0.05585050582885742,1,0.17
6,10000,0.00861299980784252,0.0021869943088904573,0.02293872833251953,0.006981611251831055,1,0.23
6,100000,0.7049963631114724,37.27240215155272,0.003988981246948242,0.000997304916381836,1,0.2
6,1000000,0.8728893959334435,19.152987557401055,0.04089069366455078,0.00797891616821289,1,0.16
6,10000000,0.9779128982646046,8.452801580056928,0.40790891647338867,0.06283140182495117,1,0.13
8,10000,0.0036408544867127376,0.0007316777111555575,0.034906625747680664,0.006981372833251953,1,0.17
8,100000,0.36656083509313053,19.452272777802374,0.005983829498291016,0.0009975433349609375,1,0.14
8,1000000,1.7584767960107683,550.7313796423515,0.054853200912475586,0.00797891616821289,1,0.13
8,10000000,0.7708175140207788,113.33167673702323,0.5565106868743896,0.06482672691345215,1,0.1
2,10000,1.035327311982886,0.3296163746633234,0.04388308525085449,0.005983591079711914,2,0.12
2,100000,0.9824304291421249,0.09594045030385254,0.001994609832763672,0.0009975433349609375,2,0.33
2,1000000,0.9989397134234804,0.030723985276697282,0.015956878662109375,0.006981372833251953,2,0.3
2,10000000,0.9994736154822184,0.009732667481748636,0.1625654697418213,0.05186128616333008,2,0.24
4,10000,0.532550411740456,1.4598134357519792,0.011968135833740234,0.005983591079711914,2,0.33
4,100000,0.8860798742041406,2.649872675338295,0.003989219665527344,0.0,2,0.0
