ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc,total_time
2,10000,0.9641164800355521,6.64311380651585,0.05385637283325195,0.007978200912475586,1,0.13,0.06183457374572754
2,100000,1.0429064258050225,2.706347409766099,0.001994609832763672,0.0019948482513427734,1,0.5,0.003989458084106445
2,1000000,1.060181562972601,0.8512099428674188,0.012965202331542969,0.01296544075012207,1,0.5,0.02593064308166504
2,10000000,0.9957186630945504,0.25027703621511377,0.13862919807434082,0.12366962432861328,1,0.47,0.2622988224029541
4,10000,1.2491010055859433e-15,1.1954522624915054e-28,0.011967897415161133,0.006981372833251953,1,0.37,0.018949270248413086
4,100000,0.10470587934444614,2.3240132402576306,0.0029916763305664062,0.001995086669921875,1,0.4,0.004986763000488281
4,1000000,1.7966651209376692,1052.927101396545,0.02792501449584961,0.014960050582885742,1,0.35,0.04288506507873535
4,10000000,0.7425283774100313,129.89808805862114,0.2712748050689697,0.1406240463256836,1,0.34,0.4118988513946533
6,10000,2.80312337935241e-92,6.570832346244467e-182,0.023936033248901367,0.006981611251831055,1,0.23,0.030917644500732422
6,100000,3.83442055839947e-19,4.6494275954591456e-35,0.004986286163330078,0.0019948482513427734,1,0.29,0.0069811344146728516
6,1000000,2.0624458127424354e-10,4.2533341980024633e-17,0.04089045524597168,0.014960050582885742,1,0.27,0.05585050582885742
6,10000000,1.5715778123042232e-06,2.8961695250502063e-09,0.4218721389770508,0.14960002899169922,1,0.26,0.57147216796875
8,10000,5.358956274619565e-137,2.8718412353279764e-271,0.04089093208312988,0.007978677749633789,1,0.16,0.04886960983276367
8,100000,1.1329940930724519e-64,4.0593385023697864e-126,0.004986286163330078,0.0019948482513427734,1,0.29,0.0069811344146728516
8,1000000,1.0663403393525273e-29,1.1370817192963474e-55,0.05684781074523926,0.016955137252807617,1,0.23,0.07380294799804688
8,10000000,2.4469031725665083e-20,1.8933616144200844e-36,0.5435464382171631,0.14960002899169922,1,0.22,0.6931464672088623
2,10000,1.3684128106469409,12.48840598422841,0.054853200912475586,0.006981372833251953,2,0.11,0.06183457374572754
2,100000,0.8364429053764215,1.916033200828441,0.0019948482513427734,0.000997304916381836,2,0.33,0.0029921531677246094
2,1000000,1.0007695561003442,0.8123526423209053,0.016954421997070312,0.01296544075012207,2,0.43,0.029919862747192383
2,10000000,0.9802417292881553,0.24476783291907356,0.13862943649291992,0.11768531799316406,2,0.46,0.256314754486084
4,10000,1.1974132143162448e-18,8.53344275274805e-35,0.010970830917358398,0.006981611251831055,2,0.39,0.017952442169189453
4,100000,0.09074440896729619,2.5225206497566304,0.0029914379119873047,0.0019948482513427734,2,0.4,0.004986286163330078
4,1000000,0.2974592510653528,20.82845602225956,0.02792525291442871,0.014960050582885742,2,0.35,0.04288530349731445
4,10000000,1.1458964801906346,255.633745037193,0.26927995681762695,0.1406240463256836,2,0.34,0.40990400314331055
6,10000,3.2284069229918205e-60,1.0421000257679249e-117,0.022939205169677734,0.00698089599609375,2,0.23,0.029920101165771484
6,100000,4.313356070259868e-07,5.487456297981816e-11,0.003989219665527344,0.001994609832763672,2,0.33,0.005983829498291016
6,1000000,0.1402977465410108,19.683235062343726,0.04089069366455078,0.014960050582885742,2,0.27,0.05585074424743652
6,10000000,0.0003051226890259015,0.0002869273168944545,0.40691208839416504,0.14760541915893555,2,0.27,0.5545175075531006
8,10000,7.107557607527322e-130,5.051737514431944e-257,0.03690195083618164,0.00698089599609375,2,0.16,0.04388284683227539
8,100000,5.202170758114733e-56,8.557939404708385e-109,0.00498652458190918,0.001994609832763672,2,0.29,0.0069811344146728516
8,1000000,4.324343316061481e-37,1.8633536791425134e-70,0.05585074424743652,0.015957117080688477,2,0.22,0.071807861328125
8,10000000,4.716568239884951e-16,5.684545399954033e-28,0.538560152053833,0.14960026741027832,2,0.22,0.6881604194641113
2,10000,0.8691591363434831,5.554910748797826,0.049866437911987305,0.006981372833251953,3,0.12,0.05684781074523926
2,100000,0.974573169418998,2.4662533671365146,0.0019948482513427734,0.0009975433349609375,3,0.33,0.002992391586303711
2,1000000,0.9819064477767103,0.7773483122175376,0.015956640243530273,0.012965679168701172,3,0.45,0.028922319412231445
2,10000000,1.0054514033830928,0.251549954445261,0.13563752174377441,0.11768507957458496,3,0.46,0.2533226013183594
4,10000,0.0004822558308893291,2.3257068296423212e-05,0.010970830917358398,0.0069811344146728516,3,0.39,0.01795196533203125
4,100000,0.00081226175607436,0.00020017400835489621,0.0029921531677246094,0.001994609832763672,3,0.4,0.004986763000488281
4,1000000,0.11819534012815987,3.84364217670135,0.02792525291442871,0.014960289001464844,3,0.35,0.042885541915893555
4,10000000,0.7606929130848489,131.0403194811329,0.2732691764831543,0.1406242847442627,3,0.34,0.413893461227417
6,10000,3.3422045367455897e-34,1.11703311654428e-65,0.030917644500732422,0.007978439331054688,3,0.21,0.03889608383178711
6,100000,7.531872272753895e-26,1.7939299637875633e-48,0.003988981246948242,0.001995086669921875,3,0.33,0.005984067916870117
6,1000000,5.422804050502556e-13,2.9349348398713185e-22,0.039893150329589844,0.015957117080688477,3,0.29,0.05585026741027832
6,10000000,0.07366854804995883,16.007052928946653,0.40391993522644043,0.14860296249389648,3,0.27,0.5525228977203369
8,10000,4.53585796006371e-171,0.0,0.034906864166259766,0.0069811344146728516,3,0.17,0.04188799858093262
8,100000,3.69124774561443e-60,4.288442662136115e-117,0.0069811344146728516,0.0019948482513427734,3,0.22,0.008975982666015625
