func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f2,8,15,8388608,2.5639303847591708e-20,6.5385992450597436e-21,1.529379554429112e+20,17.036,0.002,0.0,1.0,4
f2,6,15,8388608,0.22457643717608317,0.05787663408203346,13.39786902128488,13.535,0.0,8.279353877836462e-30,1.0,4
f2,4,15,8388608,1.0770437013320404,0.041475909719501595,1.857553019405266,9.794,0.0,2.8660819892617525e-29,1.0,4
f2,2,15,8388608,1.000000054644187,0.0014491851844356792,3.770683522022825e-05,6.287,0.0,9.39058550394475e-26,1.0,4
