func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f1,8,15,8388608,8.121821678317853e-11,2.0970453400656132e-11,47686141105.91874,12.889,0.002,3.7986134790348697e-31,1.0,5
f1,6,15,8388608,0.0002667051390968329,6.085744271457875e-05,16427.461461856845,10.277,0.001,7.934748339268844e-31,1.0,5
f1,4,15,8388608,0.8543283616498569,0.05475199996127286,2.660572005646906,7.488,0.0,0.0,1.0,5
f1,2,15,8388608,1.000000028697253,0.0025132254481537056,1.1418495320199934e-05,4.684,0.001,3.1223209643930474e-26,1.0,5
