func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f2,8,15,8388608,1.3757492870953446e-12,3.552167348280066e-13,2815182681308.123,17.016,0.002,1.2928673065960576e-30,1.0,5
f2,6,15,8388608,0.009858876733221987,0.002443594207297051,405.1986701842813,13.525,0.001,2.015869105699356e-30,1.0,5
f2,4,15,8388608,1.0914322241140408,0.047539541249175504,1.9232878928049517,9.755,0.0,1.9634189909293557e-28,1.0,5
f2,2,15,8388608,1.0000005470292153,0.0014491862970123176,0.0003774733561768438,6.289,0.0,0.0,1.0,5
