func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f3,8,15,10000000,-31.151356184876096,51.8487823580664,0.6200985774909742,27.157,10.891,11.170941758159836,0.2641735564037371,3
f3,6,15,10000000,0.04865725796562582,1.4382121730154886,0.661475935111647,19.391,6.523,4.266767843718436,0.8929936760531842,3
f3,4,15,10000000,1.0358490749165161,0.0572535245319499,0.6261461667134713,14.41,4.854,21.30768139905231,0.011352152987270658,3
f3,2,15,10000000,0.9967497452251884,0.003528821880291904,0.9210594598055187,8.255,2.794,14.387243708471473,0.10920163692615525,3
