func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f1,8,15,10000000,0.9999834357368531,0.00013143983431646383,0.1260216374513115,26.891,10.734,13.875071804467337,0.12683907850961307,3
f1,6,15,10000000,1.000063335537523,7.492832086172822e-05,0.8452816878133755,19.211,6.49,15.85571491536808,0.06995645988087584,3
f1,4,15,10000000,1.0000387841998188,5.7894298309295104e-05,0.6699139803308601,14.397,4.861,7.159147227193989,0.6205539726877729,3
f1,2,15,10000000,0.999980479064096,3.94792542437392e-05,0.4944606041299844,8.269,2.814,8.921359737838385,0.44456487898720276,3
