func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f1,8,15,100000000,1.000037253325514,3.0633303788447526e-05,1.216105379009528,226.186,77.22,10.766144819692327,0.29207978482088026,3
f1,6,15,100000000,0.9999849345455519,2.349314532199999e-05,0.641270219103575,178.979,59.677,8.476390270885236,0.4869392707160912,3
f1,4,15,100000000,1.000015580245152,1.831852809163988e-05,0.8505183972251169,132.983,44.387,10.781397020265828,0.2909912414774696,3
f1,2,15,100000000,0.9999971578569532,1.248707653213853e-05,0.22760676123707427,76.973,25.705,3.652942753389926,0.9327362384314204,3
