func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f1,8,15,8388608,2.1948937133071402e-29,1.4469976111527746e-29,6.910861443671172e+28,9.014,0.002,14.531844202245644,0.41088558045259216,2
f1,6,15,8388608,4.087259564915931e-07,2.9204212574255693e-07,3424162.1434969637,7.056,0.002,17.746934697344663,0.21855089241194625,2
f1,4,15,8388608,0.6389075460893089,0.04664501041641221,7.7412878823935145,4.874,0.001,56.104973190188595,5.586751654629296e-07,2
f1,2,15,8388608,1.0008492459201639,0.002514676299392019,0.3377158007848616,2.814,0.001,12.277458507199738,0.5840314252082766,2
