func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f2,8,15,8388608,5.986132699610033e-26,5.753678829774003e-26,1.7380184566876125e+25,14.24,0.002,15.151082748622802,0.36790546783072553,2
f2,6,15,8388608,0.00020864621444491776,8.221825061346273e-05,12160.211952038851,11.05,0.002,20.132543987658654,0.12601769071351987,2
f2,4,15,8388608,0.9228388013427584,0.037619522240304785,2.0510945929710043,7.924,0.001,26.010745772958103,0.025805617596929786,2
f2,2,15,8388608,0.999335818221484,0.0014481898500114927,0.4586289418550644,4.82,0.001,8.750995458932248,0.8466633706061877,2
