ndims,nitn,nitn_pre,neval,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q,run_num
2,5,0,200000,0.9999594570411726,2.4510643085853406e-05,0.16156721115112305,0.0,194841,1.2716467380523682,0.8661674132380559,1
2,5,1,200000,0.9999857230525719,2.4650635030620647e-05,0.15957331657409668,0.03291201591491699,193623,1.3443892002105713,0.7186205281395084,1
2,5,2,200000,0.9999418487913285,2.5231456923585542e-05,0.15957331657409668,0.06482672691345215,192245,1.3561251163482666,0.5075995302138476,1
2,5,3,200000,0.9999469636203802,2.7205425652362032e-05,0.15957307815551758,0.0967411994934082,190734,1.2968368530273438,0.2547919364425697,1
4,5,0,200000,1.0012968811258072,0.0005547244112284442,0.2263946533203125,0.0,194795,7.043189332820475,0.13362339345684507,1
4,5,1,200000,1.0005477986736453,0.0005518872346953809,0.2263953685760498,0.044879913330078125,194815,3.6152075240388513,0.30612587018660664,1
4,5,2,200000,1.0000635735239718,0.0005574428312083518,0.23038387298583984,0.09374880790710449,193680,0.6911599133163691,0.7078098218189359,1
4,5,3,200000,0.9998657849533328,0.0005872296199542711,0.23337459564208984,0.14261746406555176,191998,0.007600864395499229,0.9305261027945819,1
6,5,0,200000,1.002482846113976,0.0025243806238983684,0.3031890392303467,0.0,190095,17.17490744133829,0.0017873907913044445,1
6,5,1,200000,0.9993196253821776,0.0024561700612020353,0.3091733455657959,0.05485343933105469,192633,3.5509270105394535,0.31421793754029925,1
6,5,2,200000,1.0020856550870412,0.002533249074882896,0.3071784973144531,0.12267184257507324,191907,1.092618702125037,0.5790831849769413,1
6,5,3,200000,1.0035351000122725,0.002571025467007396,0.3071784973144531,0.18350911140441895,190576,0.8942682896449696,0.34432337184508954,1
8,5,0,200000,0.9158955406276996,0.006612945448494707,0.38297557830810547,0.0,189311,1644.0808578326069,0.0,1
8,5,1,200000,1.0043488286458582,0.007049294643937005,0.3730025291442871,0.06781840324401855,189986,3.438880901405355,0.3287767766422576,1
8,5,2,200000,0.9938429004227937,0.007038853862538416,0.3809812068939209,0.15259218215942383,189560,12.594464798057743,0.00184139397509942,1
8,5,3,200000,1.0082819465497486,0.0072238823662181895,0.3859677314758301,0.2343730926513672,188577,0.08466310401490773,0.7710748501839683,1
2,5,0,200000,1.000019091588265,2.47958474691037e-05,0.16156911849975586,0.0,194832,4.316656589508057,0.3648444776987826,2
2,5,1,200000,1.0000089865236423,2.4659678352128412e-05,0.16156697273254395,0.032911062240600586,193600,3.495262861251831,0.32137793863209974,2
2,5,2,200000,0.999986044098876,2.510163351872352e-05,0.16156792640686035,0.06582403182983398,192237,0.899116039276123,0.6379100608068937,2
2,5,3,200000,1.0000167682937782,2.735494764236903e-05,0.16156768798828125,0.0967411994934082,190775,1.7408089637756348,0.18703646604239665,2
4,5,0,200000,1.000171167367153,0.0005373261924441261,0.2263946533203125,0.0,194766,2.0093952235765755,0.7340308501627524,2
4,5,1,200000,0.9998342825268125,0.0005499455039567497,0.2263944149017334,0.044879913330078125,194808,2.9662559288553894,0.39685733734844697,2
4,5,2,200000,1.0001602351449763,0.0005548550608056666,0.23038411140441895,0.09375,193651,1.6073766555637121,0.4476749316786305,2
4,5,3,200000,0.999906273085789,0.0005842659609900811,0.23038411140441895,0.1406238079071045,192011,0.001224036794155836,0.9720907152709206,2
6,5,0,200000,0.99807121898886,0.0025102550014057317,0.3041861057281494,0.0,190148,2.9182485904020723,0.5715986201284076,2
6,5,1,200000,0.9977792255853067,0.002462193557221521,0.3041868209838867,0.05485343933105469,192617,0.7421692396164872,0.8632433296005486,2
