ndims,nitn,neval,nhcube_batch,result_mean,result_sdev,total_time,avg_neval,chi2,Q,run_num
2,5,200000,100,-2.003248368318254,0.0009367810375335426,0.3949434757232666,199712,2.100225955247879,0.7173310475669361,1
2,5,200000,1000,-2.0006113785066915,0.0009374694182293367,0.20046401023864746,199712,2.6572524392977357,0.6167155046001741,1
2,5,200000,10000,-2.0015900418548473,0.0009367371416663596,0.18051743507385254,199712,7.140150445513427,0.12866469040316778,1
2,5,200000,100000,-2.0008854799471503,0.0009394311459602836,0.19248509407043457,199712,0.5826435890048742,0.9649727148685991,1
4,5,200000,100,11.475927589427899,2.2510832363553597,0.4807143211364746,198288,0.8142754286163019,0.9365240758886209,1
4,5,200000,1000,14.825927443756614,2.256335056020869,0.28623461723327637,198288,3.979336504000983,0.40880976860709217,1
4,5,200000,10000,9.74244150748241,2.2559485555014884,0.26628780364990234,198288,8.236409055843403,0.08329216194680494,1
4,5,200000,100000,11.65533881696898,2.251541184027182,0.2812483310699463,198288,2.511789533235831,0.6425260436537847,1
6,5,200000,100,457.320071059421,630.6261150648903,0.503652811050415,172872,3.161960063206034,0.5310969877260581,1
6,5,200000,1000,-741.000277576987,629.5737218070352,0.33211183547973633,172872,5.145836148926554,0.2726590211517824,1
6,5,200000,10000,-646.1194428394407,631.0646386857873,0.3141598701477051,172872,9.447583507943321,0.05083550383371447,1
6,5,200000,100000,-385.4312798019598,630.8093596822328,0.3321115970611572,172872,10.978611173874393,0.02680544985511008,1
8,5,200000,100,-23326.29588748242,77635.28748221553,0.5485329627990723,163840,4.389337677890113,0.35587213774943904,1
8,5,200000,1000,31011.932291259724,77608.45273106232,0.3899571895599365,163840,3.1559884011309363,0.5320688789997059,1
8,5,200000,10000,21521.58453026966,77487.49267330632,0.3809812068939209,163840,4.303079822809512,0.3665400651921139,1
8,5,200000,100000,-51999.84038882238,77634.3001432023,0.3859682083129883,163840,10.390926649975851,0.034333077786771166,1
2,5,200000,100,-2.0011555899917624,0.000936216296682877,0.38796234130859375,199712,1.034583012573421,0.9045075205499435,2
2,5,200000,1000,-2.0012582244715658,0.0009370185809900552,0.1984694004058838,199712,0.763851280324161,0.9432275569501485,2
2,5,200000,10000,-2.0017561756846463,0.0009351782432145713,0.18051791191101074,199712,2.965500706806779,0.5636157699125771,2
2,5,200000,100000,-2.000032790769534,0.0009370508471813732,0.1904900074005127,199712,2.315977046266198,0.6778617569424408,2
4,5,200000,100,12.38512617301414,2.2532954640765976,0.47872018814086914,198288,6.970741247872695,0.137442518643456,2
4,5,200000,1000,11.84822572002655,2.254761268186067,0.2872314453125,198288,9.727462908436266,0.045277489689307185,2
4,5,200000,10000,12.377068103717436,2.2548028672945506,0.2672851085662842,198288,4.518987294454988,0.340302809388099,2
4,5,200000,100000,12.811490101449074,2.258042779987487,0.28025054931640625,198288,4.794033551837373,0.30909263967802547,2
6,5,200000,100,1074.1666574591316,630.2127550070431,0.5056478977203369,172872,1.928312993260048,0.7489421755873136,2
6,5,200000,1000,-63.22290018319433,632.6896793931901,0.33211183547973633,172872,3.401947004966108,0.49294349944369753,2
6,5,200000,10000,-110.72737318467334,631.548495181433,0.31316208839416504,172872,1.0182451292170447,0.9070169316450808,2
6,5,200000,100000,-756.0536005719896,631.242971707563,0.33310985565185547,172872,4.562330303061173,0.33522144988937974,2
8,5,200000,100,-24291.973168829245,77431.20329997018,0.5505275726318359,163840,10.24480467912715,0.03649982616826576,2
8,5,200000,1000,82032.16646326393,77493.54464692855,0.38297581672668457,163840,3.3502523022660906,0.5010100210854114,2
8,5,200000,10000,-74320.24802572637,77554.24026498868,0.3749971389770508,163840,1.8792579367360054,0.7579543012694199,2
8,5,200000,100000,-79770.92192081717,77461.04540617889,0.3889598846435547,163840,4.028118466780477,0.40221402835024567,2
2,5,200000,100,-2.0010248358737837,0.0009384530039991285,0.3899571895599365,199712,3.64289316162467,0.456486701839131,3
2,5,200000,1000,-2.0017839544217515,0.0009375361645473027,0.19946670532226562,199712,4.845311723649502,0.30354115162886997,3
2,5,200000,10000,-2.001085017187756,0.0009364879632700853,0.1795196533203125,199712,2.6456226278096437,0.6187630800488922,3
2,5,200000,100000,-2.001460365381707,0.0009359622948833901,0.18949341773986816,199712,2.187181308865547,0.7013770312229275,3
4,5,200000,100,8.303466541259795,2.256077301881088,0.47772216796875,198288,7.264600015278587,0.12254873382369713,3
4,5,200000,1000,10.077972110792384,2.254847173072994,0.28623461723327637,198288,7.770898624596725,0.10034028163925093,3
4,5,200000,10000,9.554750897894687,2.2536964605189014,0.26329588890075684,198288,3.0261330191890217,0.553462266674281,3
4,5,200000,100000,8.809230227297725,2.2541880636786717,0.2782559394836426,198288,3.321001972007659,0.5056117758240768,3
6,5,200000,100,-521.6244234987801,631.0072073426629,0.5066447257995605,172872,2.557191173922669,0.634425051542381,3
6,5,200000,1000,304.0501865520932,631.0763386875927,0.33211183547973633,172872,1.7945862594527098,0.773472722629432,3
6,5,200000,10000,105.09716479707268,630.4579166106466,0.31316256523132324,172872,3.7028852664819953,0.4477070361948403,3
6,5,200000,100000,508.8716426657465,629.8030339290585,0.3311152458190918,172872,1.5204809719649195,0.8230075514302365,3
8,5,200000,100,81721.50316150623,77659.40919701522,0.5475356578826904,163840,4.3950453562532905,0.3551749924273334,3
8,5,200000,1000,67413.04023051314,77536.46427999929,0.3809809684753418,163840,5.246180651451196,0.2629582015333891,3
8,5,200000,10000,118272.92674717688,77473.52878492016,0.3749971389770508,163840,2.997331044224269,0.5582726901027479,3
8,5,200000,100000,598.0393215602336,77412.98005393909,0.39394664764404297,163840,3.4715527597400313,0.48221728959381527,3
2,5,200000,100,-2.0020019613123856,0.00093791035647686,0.3869647979736328,199712,1.426762736402452,0.8395305108518573,4
2,5,200000,1000,-2.0011807263752015,0.0009354776712057036,0.20046401023864746,199712,3.3803847823292017,0.49629776728105013,4
2,5,200000,10000,-1.9995567007658335,0.0009375300313632697,0.17852258682250977,199712,13.674876963719726,0.008408380220638494,4
