func,ndims,nitn,nitn_pre,neval,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q
F3,2,5,0,200000,-2.0015808394691805,0.001808938572658936,0.15320734977722167,0.0,189913.0,5.84606770738028,0.382278779081564
F3,2,5,1,200000,-2.000821730388963,0.0018109923859705914,0.1836915969848633,0.03209686279296875,187473.2,7.850273243291303,0.3337026402783937
F3,2,5,3,200000,-2.0009252245756453,0.0018353504834540846,0.2429502487182617,0.09215345382690429,187454.4,4.258203994482756,0.4824403239728586
F3,2,5,5,200000,-2.000676162397945,0.0018458138109930058,0.3035880565643311,0.15219297409057617,187454.4,2.2675318696070463,0.6891078198684137
F3,4,5,0,200000,13.712406279178264,3.137203086743137,0.21622185707092284,0.0,188149.0,5.04576272363969,0.3500628947136161
F3,4,5,1,200000,12.55694867718498,3.1369016543586237,0.2601043701171875,0.04527878761291504,186509.6,7.115759036726558,0.31700999647060707
F3,4,5,3,200000,10.767099609122187,3.1388514853370024,0.3452765941619873,0.13025150299072266,186501.0,2.933051105572396,0.6095875949122009
F3,4,5,5,200000,12.353676632743722,3.138280374956871,0.43004980087280276,0.21582283973693847,186515.2,2.3588069153736386,0.6709988830318036
F3,6,5,0,200000,-163.18392781533407,685.5789041721491,0.27546348571777346,0.0,182985.0,2.3983967637389023,0.6662147502592031
F3,6,5,1,200000,-438.27066262877526,685.7863314021798,0.3315134525299072,0.054853200912475586,183727.0,2.3232701170707815,0.6790100472735455
F3,6,5,3,200000,-189.59072725199098,685.9361167847095,0.44042205810546875,0.16455988883972167,183713.2,4.406129259254015,0.4517072175755839
F3,6,5,5,200000,534.1402371879201,686.3726962732671,0.5509267330169678,0.2760619163513184,183734.0,5.115965939397693,0.45648853005259565
F3,8,5,0,200000,-5771.400165547617,74385.3015018849,0.32752418518066406,0.0,182193.8,4.809316400467724,0.5129714815258922
F3,8,5,1,200000,-52992.674121579505,74754.58968384728,0.39274959564208983,0.06761908531188965,181087.0,2.006370249640182,0.7230916918925481
F3,8,5,3,200000,-9797.023893403933,74719.05541991974,0.5224029541015625,0.19667401313781738,181098.4,4.987706575244439,0.35162956882499474
F3,8,5,5,200000,11980.614665828387,74721.15433187233,0.6522556781768799,0.32692575454711914,181093.2,4.569259451687008,0.4325519448954872
