func,ndims,nitn,nitn_pre,neval,max_nhcube,beta,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q
F1,2,10,5,200000,1,0.0,1.0002605390180088,0.000425989359034315,0.5762585163116455,0.24634084701538086,200000.0,4.897805600240827,0.3238926479790577
F1,2,10,5,200000,101,0.0,1.0000042556932311,7.776131197239255e-06,0.4140926361083984,0.20724620819091796,199712.0,4.229684066772461,0.5090862099040664
F1,2,10,5,200000,102,0.5,0.9999977083984131,1.2930617976837512e-05,0.3119656562805176,0.15719938278198242,187605.2,4.422452163696289,0.3711453449957206
F1,2,10,5,200000,103,1.0,0.9999908000385638,1.4358103991713963e-05,0.31296300888061523,0.1587754726409912,187835.0,3.7976417541503906,0.48227251205434885
F1,4,10,5,200000,1,0.0,0.999603443786986,0.000643975046495438,0.7930790901184082,0.3283220291137695,200000.0,3.4553384773433207,0.5176740398302181
F1,4,10,5,200000,101,0.0,0.9999167527535823,0.00018486494585069223,0.5770567417144775,0.28902697563171387,198288.0,2.9816731564700603,0.5847885195847295
F1,4,10,5,200000,102,0.5,0.9999553845086402,0.000226042445035555,0.43962440490722654,0.22380166053771972,186627.6,3.394327500462532,0.5178297239036076
F1,4,10,5,200000,103,1.0,0.9999619002750574,0.0002442769313768476,0.44381299018859866,0.22978544235229492,186984.4,3.444922798499465,0.5215035960431118
F1,6,10,5,200000,1,0.0,0.9998791780143554,0.0010011712850440985,1.0380239486694336,0.42586097717285154,200000.0,5.606477199727669,0.3788378185326194
F1,6,10,5,200000,101,0.0,0.9995744703877811,0.0007010324966290637,0.6686119079589844,0.33530325889587403,172872.0,4.217843314586207,0.4816672962373783
F1,6,10,5,200000,102,0.5,0.9998172628433034,0.0006048840559104653,0.5738654613494873,0.29660701751708984,183974.6,2.309354713559151,0.681583206657317
F1,6,10,5,200000,103,1.0,1.0000015436907712,0.0006154580442632328,0.5816444396972656,0.3039870262145996,184552.8,4.974001513421536,0.39189402553818653
F1,8,10,5,200000,1,0.0,0.9991485584691218,0.0017606259845771785,1.4650818347930907,0.5188124656677247,200000.0,4.596288402401842,0.4479304202940913
F1,8,10,5,200000,101,0.0,0.9993715411160456,0.00171503662114007,0.771137809753418,0.38756356239318845,163840.0,4.417148441867903,0.46995442525596437
F1,8,10,5,200000,102,0.5,0.9999412897671128,0.000965805163299013,0.7033193111419678,0.3710078239440918,181488.8,1.9592064897064119,0.7393339354970326
F1,8,10,5,200000,103,1.0,0.9992868124255881,0.0009342244393317397,0.7120955467224122,0.378188419342041,182217.4,4.6191811971366405,0.36581157292577837
