ndims,nitn,nitn_pre,neval,max_nhcube,beta,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q,run_num
2,10,5,200000,1,0.0,1.000080306175269,0.0004256965591324984,0.574462890625,0.2483348846435547,200000,3.98627545312047,0.40786665120003973,1
2,10,5,200000,101,0.0,0.9999980724831892,7.799056952430344e-06,0.4138932228088379,0.20545077323913574,199712,6.483083724975586,0.1658593709646759,1
2,10,5,200000,102,0.5,0.9999994259398226,1.286669018470432e-05,0.3151569366455078,0.15857648849487305,187590,5.585170745849609,0.2323452352201668,1
2,10,5,200000,103,1.0,0.9999705539486419,1.442139749706775e-05,0.31615447998046875,0.16156840324401855,187852,5.284388542175293,0.2593427149521115,1
4,10,5,200000,1,0.0,1.0008384355807596,0.0006484429086825933,0.7988638877868652,0.33011722564697266,200000,4.284876375459135,0.3688231604396951,1
4,10,5,200000,101,0.0,0.9997783627566268,0.0001834304738898863,0.5764584541320801,0.28822922706604004,198288,1.5834561698138714,0.8117626242924315,1
4,10,5,200000,102,0.5,1.0000599063617073,0.00022920019911777502,0.43982386589050293,0.22539734840393066,186636,4.725604958832264,0.3166292707461499,1
4,10,5,200000,103,1.0,1.0000515843478828,0.00024477175265334874,0.44580769538879395,0.23237848281860352,186983,2.433750471100211,0.6565368381280275,1
6,10,5,200000,1,0.0,0.9997259675284875,0.001015364616037787,1.035231351852417,0.42386627197265625,200000,4.249471754767001,0.3732954695325085,1
6,10,5,200000,101,0.0,0.9995449251469634,0.0006983196362330138,0.6702077388763428,0.33510398864746094,172872,9.827519764658064,0.0434355059329409,1
6,10,5,200000,102,0.5,1.0004759419577907,0.0006054327536253054,0.5744638442993164,0.29620790481567383,183960,2.433412788901478,0.6565976863450951,1
6,10,5,200000,103,1.0,0.998885912183304,0.0006210707113836799,0.5844368934631348,0.3061811923980713,184591,4.628745077177882,0.3275544272918577,1
8,10,5,200000,1,0.0,0.9973666799306208,0.0017793024764849615,2.181166648864746,0.5196101665496826,200000,2.0852900282479823,0.7200754761649814,1
8,10,5,200000,101,0.0,0.998484283625673,0.0017307558231495477,0.7729330062866211,0.3889598846435547,163840,3.6065595692489296,0.4618622092636161,1
8,10,5,200000,102,0.5,1.001331952611264,0.0010044644145202983,0.7001276016235352,0.36801576614379883,181516,2.709390237694606,0.6075726495602927,1
8,10,5,200000,103,1.0,0.9995937417673875,0.0009455090012080347,0.7120959758758545,0.3779890537261963,182297,7.288552736863494,0.12140286566254911,1
2,10,5,200000,1,0.0,1.000772325351986,0.00042568694482540855,0.5814447402954102,0.24634075164794922,200000,3.25498603656888,0.5160959720318037,2
2,10,5,200000,101,0.0,1.0000081713937639,7.850123207888292e-06,0.41489076614379883,0.20744585990905762,199712,3.8977203369140625,0.4200258752848781,2
2,10,5,200000,102,0.5,1.0000093048886227,1.2892500402705852e-05,0.3121652603149414,0.15658116340637207,187574,5.207904815673828,0.26662322960417995,2
2,10,5,200000,103,1.0,0.9999930252814752,1.4262656801584276e-05,0.31116771697998047,0.1575784683227539,187823,6.424219131469727,0.16962825713374813,2
4,10,5,200000,1,0.0,0.9999198520292264,0.0006389771094460443,0.7958714962005615,0.32712531089782715,200000,2.748596520163119,0.6007382625144797,2
4,10,5,200000,101,0.0,0.999917219867445,0.00018705074173728007,0.5794503688812256,0.2902238368988037,198288,2.4623135663568974,0.6513966869319086,2
4,10,5,200000,102,0.5,0.9998822011019896,0.00022439471295812217,0.44580769538879395,0.2234025001525879,186625,0.975283320993185,0.9135204506264705,2
4,10,5,200000,103,1.0,1.0001376587173918,0.0002443625846560505,0.4438130855560303,0.22739195823669434,186997,1.8841259963810444,0.7570605033161704,2
6,10,5,200000,1,0.0,1.0002952573887742,0.0010025406791169982,1.04819655418396,0.432842493057251,200000,3.504927125759423,0.47712991015271733,2
6,10,5,200000,101,0.0,0.9997065847254203,0.0007112727878975687,0.6692104339599609,0.33610105514526367,172872,2.812512275762856,0.589675102732679,2
6,10,5,200000,102,0.5,0.9994425753378686,0.0006053351106112709,0.5754611492156982,0.2982025146484375,184008,0.826555862557143,0.9348528559546241,2
6,10,5,200000,103,1.0,1.0001704723113654,0.0006134372214974921,0.5814449787139893,0.30219197273254395,184532,1.190396273508668,0.8796772788519288,2
8,10,5,200000,1,0.0,0.9977839701879407,0.0018260126690929019,1.303514003753662,0.5245969295501709,200000,1.7887185120489448,0.7745457532370255,2
8,10,5,200000,101,0.0,0.9983517391693792,0.001687823409254459,0.7789168357849121,0.39294886589050293,163840,1.287272771296557,0.863531194725669,2
8,10,5,200000,102,0.5,1.0010526576055268,0.0009673455947599109,0.7071099281311035,0.3749973773956299,181449,1.1597367420326918,0.8846821746090375,2
8,10,5,200000,103,1.0,0.9989930887844684,0.0009255172624397879,0.7180788516998291,0.38496971130371094,182179,4.207735531264916,0.37862167021950777,2
2,10,5,200000,1,0.0,0.9996427040752422,0.0004270078916608582,0.5714712142944336,0.24534368515014648,200000,4.666547276079655,0.32325453271095383,3
2,10,5,200000,101,0.0,1.0000036741445526,7.780657589216099e-06,0.4148902893066406,0.20744538307189941,199712,0.8972454071044922,0.9249557054796611,3
2,10,5,200000,102,0.5,0.99999262740046,1.3106146885815068e-05,0.31116795539855957,0.15767669677734375,187605,4.706386566162109,0.31877292085840925,3
2,10,5,200000,103,1.0,0.9999885908356322,1.411250102303405e-05,0.3141598701477051,0.15857601165771484,187832,1.883615493774414,0.757154240304718,3
