,func,ndims,nitn,neval,result_mean,result_sdev,total_time,sum_neval
0,F1,2,2,100000,1.0000625612507312,0.0002278740897295418,2.016371250152588,198224.5
1,F1,2,2,1000000,0.9999943133096532,2.2883211296585827e-05,20.186234831809998,1988621.0
2,F1,2,4,100000,1.0000126989444547,7.251871430864927e-05,3.9851077795028687,391588.0
3,F1,2,4,1000000,1.0000001084785415,7.091470035695106e-06,39.78273415565491,3923242.0
4,F1,4,2,100000,1.005282997558638,0.006678419563101045,2.002660632133484,195755.0
5,F1,4,2,1000000,0.9986028552950937,0.001107002427582429,20.46570920944214,1982457.0
6,F1,4,4,100000,1.0011557853576563,0.0014477137393123177,4.018814921379089,391023.5
7,F1,4,4,1000000,1.0000511829852607,0.00023819041170846424,40.6563184261322,3942156.0
8,F1,6,2,100000,1.020331177002527,0.0731744681408978,2.0859415531158447,199920.0
9,F1,6,2,1000000,1.0030841811874376,0.00951900030878668,20.43893587589264,1925887.5
10,F1,6,4,100000,0.9936329646879041,0.007398014959654536,4.383574366569519,398448.0
11,F1,6,4,1000000,1.0001711556020927,0.0011441753410763376,41.06546986103058,3879495.5
12,F1,8,2,100000,0.8021103017338159,0.17261132735875817,2.0166372060775757,191623.5
13,F1,8,2,1000000,0.9421656033079964,0.194659677115115,19.593462228775024,1876215.0
14,F1,8,4,100000,0.6415422965386721,0.018246741710470533,4.082885265350342,387555.0
15,F1,8,4,1000000,1.000173252023834,0.005067355208716855,39.617080330848694,3778854.0
