ndims,nitn,nitn_pre,neval,max_nhcube,beta,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q,run_num
2,10,5,200000,1,0.0,1.000080306175269,0.0004256965591324984,0.3620312213897705,0.17054343223571777,200000,3.98627545312047,0.40786665120003973,1
2,10,5,200000,101,0.0,0.9999980724831892,7.799056952430344e-06,0.8906183242797852,0.4468050003051758,199712,6.483083724975586,0.1658593709646759,1
2,10,5,200000,102,0.5,0.9999994259398226,1.286669018470432e-05,0.4448103904724121,0.22440028190612793,187590,5.585170745849609,0.2323452352201668,1
2,10,5,200000,103,1.0,0.9999705539486419,1.442139749706775e-05,0.43982386589050293,0.22240567207336426,187852,5.284388542175293,0.2593427149521115,1
4,10,5,200000,1,0.0,1.0008384355807596,0.0006484429086825933,0.5056478977203369,0.24634099006652832,200000,4.284876375459135,0.3688231604396951,1
4,10,5,200000,101,0.0,0.9997783627566268,0.0001834304738898863,1.0601649284362793,0.530580997467041,198288,1.5834561698138714,0.8117626242924315,1
4,10,5,200000,102,0.5,1.0000599063617073,0.00022920019911777502,0.563493013381958,0.2842397689819336,186636,4.725604958832264,0.3166292707461499,1
4,10,5,200000,103,1.0,1.0000515843478828,0.00024477175265334874,0.5664851665496826,0.2872321605682373,186983,2.433750471100211,0.6565368381280275,1
6,10,5,200000,1,0.0,0.9997259675284875,0.001015364616037787,0.6911518573760986,0.33211183547973633,200000,4.249471754767001,0.3732954695325085,1
6,10,5,200000,101,0.0,0.9995449251469634,0.0006983196362330138,1.0930767059326172,0.5465383529663086,172872,9.827519764658064,0.0434355059329409,1
6,10,5,200000,102,0.5,1.0004759419577907,0.0006054327536253054,0.6801810264587402,0.3450772762298584,183960,2.433412788901478,0.6565976863450951,1
6,10,5,200000,103,1.0,0.998885912183304,0.0006210707113836799,0.6871623992919922,0.3510611057281494,184591,4.628745077177882,0.3275544272918577,1
8,10,5,200000,1,0.0,0.9973666799306208,0.0017793024764849615,0.8696744441986084,0.42386627197265625,200000,2.0852900282479823,0.7200754761649814,1
