,func,ndims,nitn,nitn_pre,neval,result_mean,result_sdev,total_time,prec_time,sum_neval
0,F1,2,5,0,100000,0.9999790857046408,5.128207843754483e-05,4.9537564516067505,0.0,486382.5
1,F1,2,5,0,1000000,1.000002966125678,5.151942166682393e-06,49.536612033843994,0.0,4870926.0
2,F1,2,5,1,100000,1.000015127411724,5.115076029311736e-05,4.976575016975403,1.0143166780471802,386936.5
3,F1,2,5,1,1000000,1.0000004780419733,5.177462666594299e-06,50.051247119903564,10.253404259681702,3871257.5
4,F1,2,5,2,100000,1.0000237856689,5.172189136573747e-05,5.000118255615234,2.0310308933258057,288132.0
5,F1,2,5,2,1000000,0.9999977073545043,5.319055307999587e-06,49.90920436382294,20.426080584526062,2882467.0
6,F1,4,5,0,100000,1.0007184503072621,0.0009962122831300114,5.035842657089233,0.0,485950.5
7,F1,4,5,0,1000000,1.0000031585498885,0.0001558372263173127,50.4137282371521,0.0,4898071.5
8,F1,4,5,1,100000,0.9990189067754562,0.0009929055284393137,4.994187712669373,0.9963456392288208,389163.5
9,F1,4,5,1,1000000,1.0001758277311712,0.0001555347077919516,50.48785865306854,10.193315386772156,3910241.5
10,F1,4,5,2,100000,1.000090892628721,0.001011271876611254,5.035062193870544,2.0310839414596558,290205.5
11,F1,4,5,2,1000000,0.9999106954819046,0.00015814470132784414,50.682167410850525,20.54176902770996,2915610.5
12,F1,6,5,0,100000,0.9997699871987098,0.00397877883905961,5.132777810096741,0.0,495000.5
13,F1,6,5,0,1000000,0.9993231754322005,0.0007089223855492796,49.875662446022034,0.0,4829547.5
14,F1,6,5,1,100000,0.994919388301196,0.004090360988991305,5.112831115722656,1.0362294912338257,394946.5
15,F1,6,5,1,1000000,0.9996642200295809,0.0007190436724192411,49.7948784828186,9.70605194568634,3888919.0
16,F1,6,5,2,100000,0.9988227313718434,0.004093924832457855,5.144745826721191,2.0804381370544434,295075.0
17,F1,6,5,2,1000000,0.9998476393268826,0.0007113887804440801,49.979883790016174,19.992053270339966,2903586.5
18,F1,8,5,0,100000,0.9859213571701528,0.009966004508433712,5.03454053401947,0.0,483205.5
19,F1,8,5,0,1000000,0.9970987987232571,0.0023092504714928327,49.26629137992859,0.0,4711994.5
20,F1,8,5,1,100000,0.9863822521021635,0.009991429680195004,5.041022896766663,0.9733973741531372,389948.5
21,F1,8,5,1,1000000,1.0002452722466526,0.0022754519974372877,49.09275555610657,9.608811974525452,3787849.0
22,F1,8,5,2,100000,0.9950592678655847,0.0111420429664684,5.051993727684021,1.999653935432434,291842.0
23,F1,8,5,2,1000000,0.9982557655391529,0.0023586885584687815,49.23088586330414,19.64248788356781,2834280.0
