ndims,nitn,nitn_pre,neval,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q,run_num
2,5,0,200000,-2.0011462886446503,0.0018083724421773112,0.1545863151550293,0.0,189887,4.708074673777446,0.31858415113352867,1
2,5,1,200000,-1.9989617787788931,0.0018095046256727076,0.1825118064880371,0.031914472579956055,187457,1.9220189503394067,0.7500990662905471,1
2,5,3,200000,-1.9990142275739304,0.0018348853801167908,0.24235177040100098,0.09175443649291992,187464,4.342979996930808,0.36157453992436406,1
2,5,5,200000,-2.0010310197770713,0.0018492686623977584,0.3031895160675049,0.1515946388244629,187469,0.4203125776257366,0.9807803288913184,1
4,5,0,200000,11.164247951767386,3.139577135344295,0.21741867065429688,0.0,188143,4.888491096248227,0.29893187083275163,1
4,5,1,200000,10.379911528681728,3.1404375387004246,0.2603034973144531,0.04487967491149902,186483,5.542436207736037,0.23602579237058752,1
4,5,3,200000,19.21387790459282,3.139887348218192,0.34906649589538574,0.13065052032470703,186508,4.512514115601952,0.34106699303458865,1
4,5,5,200000,13.87472631767517,3.1388877565413296,0.4308476448059082,0.21642136573791504,186508,0.5441549797451906,0.9690625612369991,1
6,5,0,200000,-643.1744989001626,685.6907244036196,0.2762613296508789,0.0,183003,2.7252472487907013,0.6048041705822731,1
6,5,1,200000,-39.88732154035773,685.9599644926012,0.33510375022888184,0.054852962493896484,183705,3.3482960654752065,0.5013169406646532,1
6,5,3,200000,-326.6379835423603,686.6669958676348,0.44082117080688477,0.16456007957458496,183702,6.793658566800992,0.14720256910881413,1
6,5,5,200000,415.0954877508708,686.2936224322717,0.5515251159667969,0.276261568069458,183728,5.080273128562266,0.27916020548752307,1
8,5,0,200000,-35199.615423349256,74391.06099363326,0.3291199207305908,0.0,182171,12.625299092427431,0.01325946180242453,1
8,5,1,200000,-144610.79813015758,74809.32141633972,0.3919515609741211,0.06682109832763672,181112,2.928094246319014,0.569930310971192,1
8,5,3,200000,5769.409984519814,74752.01636329544,0.5216052532196045,0.19647455215454102,181076,4.839824050161381,0.3041311501538432,1
8,5,5,200000,51546.30234801867,74675.05753471768,0.655247688293457,0.32712507247924805,181108,3.6962749155540955,0.448668555989012,1
2,5,0,200000,-1.9997367254348044,0.001810054162562093,0.15367484092712402,0.0,189920,3.7942736060358584,0.43456400723169364,2
2,5,1,200000,-2.0015973306420056,0.0018082882716332653,0.18442106246948242,0.031828880310058594,187463,13.253183241467923,0.01010272001599479,2
2,5,3,200000,-2.0020952265897365,0.0018329105598494243,0.24434661865234375,0.09275174140930176,187482,9.791095396736637,0.04409758500913542,2
2,5,5,200000,-2.002276062253432,0.0018446857014685512,0.3031890392303467,0.15259194374084473,187434,1.7194042631890625,0.7871898984589396,2
4,5,0,200000,13.039339819139247,3.1380580049678235,0.21642160415649414,0.0,188134,6.660500527986475,0.15495431832891832,2
4,5,1,200000,13.678368132999875,3.1348433750661244,0.2593061923980713,0.04487943649291992,186500,10.186877327060873,0.03739470731623702,2
4,5,3,200000,9.002278794194087,3.1376355883490774,0.3450772762298584,0.13065052032470703,186510,1.1329614252383955,0.8890078774443557,2
4,5,5,200000,14.71325503018408,3.139470610483494,0.42985033988952637,0.2154240608215332,186530,1.445594419033931,0.8362331123292559,2
6,5,0,200000,434.51053284169603,685.259347963149,0.27426671981811523,0.0,182984,1.5533749133724617,0.8171467066904753,2
6,5,1,200000,107.04747433508626,685.4314374559377,0.3311145305633545,0.05485343933105469,183756,2.3345052349498245,0.6744941632267828,2
6,5,3,200000,-487.1992290956037,686.0880742812102,0.43982362747192383,0.16356253623962402,183724,4.91476560598343,0.29615575722168785,2
6,5,5,200000,1104.6222261348232,686.863828970097,0.5495305061340332,0.27526402473449707,183689,6.429639634706908,0.16927799498168516,2
8,5,0,200000,-83833.67891541473,74401.96178592416,0.3281223773956299,0.0,182199,0.5888655000868717,0.9642929113356983,2
8,5,1,200000,-67252.09987697501,74740.176227302,0.39294934272766113,0.06781864166259766,181095,2.0826804959119087,0.720555059400593,2
8,5,3,200000,-77865.07995633704,74746.53916326443,0.5226023197174072,0.19647431373596191,181101,2.605275622962047,0.6258889950947876,2
8,5,5,200000,65653.42257744039,74705.61743853716,0.6522555351257324,0.32712507247924805,181074,2.8310246551301192,0.5864895772017434,2
