func,ndims,nitn,nitn_pre,neval,max_nhcube,beta,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q
F2,2,10,5,200000,1,0.0,1.0002605390180088,0.000425989359034315,0.3514601230621338,0.16914763450622558,200000.0,4.897805600240827,0.3238926479790577
F2,2,10,5,200000,101,0.0,1.0000042556932311,7.776131197239255e-06,0.8884241104125976,0.4446109294891357,199712.0,4.229684066772461,0.5090862099040664
F2,2,10,5,200000,102,0.5,0.9999977083984131,1.2930617976837512e-05,0.439225435256958,0.22080960273742675,187605.2,4.422452163696289,0.3711453449957206
F2,2,10,5,200000,103,1.0,0.9999908000385638,1.4358103991713963e-05,0.4406212329864502,0.22140774726867676,187835.0,3.7976417541503906,0.48227251205434885
F2,4,10,5,200000,1,0.0,0.999603443786986,0.000643975046495438,0.5072437286376953,0.24674019813537598,200000.0,3.4553384773433207,0.5176740398302181
F2,4,10,5,200000,101,0.0,0.9999167527535823,0.00018486494585069223,1.0629574298858642,0.5325757503509522,198288.0,2.9816731564700603,0.5847885195847295
F2,4,10,5,200000,102,0.5,0.9999553845086402,0.000226042445035555,0.5614984035491943,0.2834420680999756,186627.6,3.394327500462532,0.5178297239036076
F2,4,10,5,200000,103,1.0,0.9999619002750574,0.0002442769313768476,0.5632936000823975,0.2850376605987549,186984.4,3.444922798499465,0.5215035960431118
F2,6,10,5,200000,1,0.0,0.9998791780143554,0.0010011712850440985,0.6847686767578125,0.3317128658294678,200000.0,5.606477199727669,0.3788378185326194
F2,6,10,5,200000,101,0.0,0.9995744703877811,0.0007010324966290637,1.0974649906158447,0.5487324714660644,172872.0,4.217843314586207,0.4816672962373783
F2,6,10,5,200000,102,0.5,0.9998172628433034,0.0006048840559104653,0.6827741622924804,0.3468724250793457,183974.6,2.309354713559151,0.681583206657317
F2,6,10,5,200000,103,1.0,1.0000015436907712,0.0006154580442632328,0.6899547576904297,0.35225787162780764,184552.8,4.974001513421536,0.39189402553818653
F2,8,10,5,200000,1,0.0,0.9991485584691218,0.0017606259845771785,0.8716690540313721,0.4260606288909912,200000.0,4.596288402401842,0.4479304202940913
F2,8,10,5,200000,101,0.0,0.9993715411160456,0.00171503662114007,1.185828685760498,0.5942107677459717,163840.0,4.417148441867903,0.46995442525596437
F2,8,10,5,200000,102,0.5,0.9999412897671128,0.000965805163299013,0.7954727172851562,0.4113001346588135,181488.8,1.9592064897064119,0.7393339354970326
F2,8,10,5,200000,103,1.0,0.9992868124255881,0.0009342244393317397,0.8074406147003174,0.4220713138580322,182217.4,4.6191811971366405,0.36581157292577837
