ndims,nitn,nitn_pre,neval,max_nhcube,beta,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q,run_num
2,10,5,200000,1,0.0,-2.0282601551441,0.07062615625154615,0.33809542655944824,0.1655571460723877,200000,2.486529419877229,0.6470496110613586,1
2,10,5,200000,101,0.0,-2.000912182159932,0.0009653599612796741,0.7769222259521484,0.3889598846435547,199712,1.5402965117245913,0.8194804052173146,1
2,10,5,200000,102,0.5,-2.0027281178838074,0.0018595434709937043,0.40691208839416504,0.20345640182495117,187415,5.2926041120663285,0.25857088887284163,1
2,10,5,200000,103,1.0,-2.001750752177149,0.0018592503915291596,0.40691065788269043,0.2044525146484375,187526,12.22812784020789,0.015733072375431166,1
4,10,5,200000,1,0.0,17.554723978780345,7.074435502666654,0.47074079513549805,0.22838902473449707,200000,0.23119175201367081,0.9938120289901069,1
4,10,5,200000,101,0.0,17.233599535053543,2.257895425775733,0.9554450511932373,0.4797170162200928,198288,3.7381277081973963,0.4426054582875807,1
4,10,5,200000,102,0.5,14.9636182062037,3.1301748026158327,0.5305807590484619,0.26628756523132324,186490,2.6343021953909833,0.6207589785859496,1
4,10,5,200000,103,1.0,11.531346561130098,3.190102028664717,0.5325756072998047,0.26928019523620605,186617,1.0013387363449109,0.9095929289902361,1
6,10,5,200000,1,0.0,465.1049828728089,707.4214588786349,0.6303141117095947,0.3031892776489258,200000,2.170377321281499,0.7044562904047467,1
6,10,5,200000,101,0.0,-545.4866893199746,630.6024748684029,1.0083036422729492,0.5046505928039551,172872,3.0317386759479303,0.5525287405807906,1
6,10,5,200000,102,0.5,-1129.7953332064815,681.3375772524655,0.6492636203765869,0.3251302242279053,183670,0.9414185412627813,0.9185449414878245,1
6,10,5,200000,103,1.0,454.1446142380385,694.3694161382791,0.6472687721252441,0.32413315773010254,183764,0.734462879245929,0.9470119328532312,1
8,10,5,200000,1,0.0,-26843.594674012325,70722.83046064316,0.8078398704528809,0.3979361057281494,200000,1.0901699574735106,0.8958287070327218,1
8,10,5,200000,101,0.0,73322.71543285006,77516.87111984275,1.0950713157653809,0.5485332012176514,163840,5.85389187382939,0.21032915463613822,1
8,10,5,200000,102,0.5,-7615.499810253859,74547.07338623371,0.7450079917907715,0.3730025291442871,180966,2.396832328585572,0.6631998536068717,1
8,10,5,200000,103,1.0,110640.24122866183,75088.22690510028,0.746004581451416,0.373002290725708,181072,1.3441640602234926,0.853839189025816,1
2,10,5,200000,1,0.0,-1.9313047063850322,0.07063847587457404,0.3390934467315674,0.1655573844909668,200000,1.6766818656183204,0.7949489286559437,2
2,10,5,200000,101,0.0,-2.001417057269537,0.0009656241432213993,0.7779195308685303,0.3899576663970947,199712,6.6389887528494,0.15624093258383526,2
