func,ndims,nitn,neval,nhcube_batch,result_mean,result_sdev,total_time,avg_neval,chi2,Q
F1,2,5,200000,100,1.0000035562127336,1.4311485594875388e-05,0.45119314193725585,199712.0,4.761746978759765,0.43083954654787
F1,2,5,200000,1000,1.0000003806976765,1.4362664570382048e-05,0.20704665184020996,199712.0,1.9922578811645508,0.7416597569901547
F1,2,5,200000,10000,1.000007342571977,1.4347392718132748e-05,0.1807164192199707,199712.0,2.500479507446289,0.6484943806649689
F1,2,5,200000,100000,0.9999902223921936,1.433642945194964e-05,0.2028578281402588,199712.0,4.929149436950683,0.4997408893207952
F1,4,5,200000,100,1.0002314072028828,0.0005359919964210342,0.5393572807312011,198288.0,3.0455979586578907,0.563350732283293
F1,4,5,200000,1000,0.9997710140292606,0.0005283534050529364,0.28942599296569826,198288.0,3.7161792858503757,0.5687599008669817
F1,4,5,200000,10000,0.9998341828646584,0.0005215517730747666,0.26509108543396,198288.0,3.9645973554812373,0.4643306930598688
F1,4,5,200000,100000,1.0000834252512456,0.0005377586947768576,0.30039687156677247,198288.0,5.2368675116449594,0.30645002590238846
F1,6,5,200000,100,1.000062439378712,0.0038864740247266825,0.5549158573150634,172872.0,8.794238853904243,0.4253792146516301
F1,6,5,200000,1000,1.0002674894526336,0.0039171631356792695,0.33550286293029785,172872.0,6.049240138163441,0.23466756674288697
F1,6,5,200000,10000,1.000200039247521,0.0037955880292063525,0.32912025451660154,172872.0,8.042328576403088,0.2184154173098949
F1,6,5,200000,100000,1.0020927578374335,0.0038289973929791026,0.3556581974029541,172872.0,5.081958050734829,0.38745140466392103
F1,8,5,200000,100,0.9522132445477286,0.021420976968540027,0.598199987411499,163840.0,74.13332048289836,0.0006328585611628389
F1,8,5,200000,1000,0.9506700154513934,0.020519058784035725,0.3861672401428223,163840.0,131.81442740931956,0.272442642191076
F1,8,5,200000,10000,0.9118570220917699,0.02101373344268054,0.39813551902770994,163840.0,102.09949706259017,0.20352486504109818
F1,8,5,200000,100000,0.7371882896697304,0.018365277655084784,0.4224703788757324,163840.0,456.93964731747127,0.18401563379334002
