ndims,nitn,neval,result_mean,result_sdev,total_time,sum_neval,run_num
2,2,100000,0.999991744654507,0.00022828752101939885,2.00862979888916,198227.0,1
2,2,1000000,0.9999629071123727,2.280524164485457e-05,20.160104036331177,1988558.0,1
2,4,100000,1.0000674721962828,7.225328424344545e-05,3.9853456020355225,391586.0,1
2,4,1000000,1.0000012201485307,7.08186513186258e-06,39.54527974128723,3923222.0,1
4,2,100000,1.0094391625452668,0.006940826036943521,1.9986567497253418,195758.0,1
4,2,1000000,0.9989373037489898,0.0011109045307375082,20.23789620399475,1982434.0,1
4,4,100000,1.0010069883205543,0.0014369435886858691,3.9983108043670654,390991.0,1
4,4,1000000,1.0000155987074062,0.00023733076294014295,40.245407581329346,3942195.0,1
6,2,100000,1.0903320019001326,0.08722849435106275,2.057499408721924,199917.0,1
6,2,1000000,1.003859873966189,0.009841540966642238,20.806935787200928,1925887.0,1
6,4,100000,1.0009598519481064,0.0074936591866598765,4.648626089096069,398364.0,1
6,4,1000000,1.0006109626919624,0.001145982671590361,41.98427605628967,3879844.0,1
8,2,100000,0.9995452286622821,0.24390487204792874,2.0261166095733643,191628.0,1
8,2,1000000,0.915253932440878,0.22669222952187415,19.5576651096344,1876206.0,1
8,4,100000,0.26678877505862186,0.009645836643713629,4.071658134460449,387497.0,1
8,4,1000000,0.9958478775595035,0.005039442394156597,39.51533031463623,3779207.0,1
2,2,100000,1.0001333778469554,0.00022746065843968477,2.0241127014160156,198222.0,2
2,2,1000000,1.0000257195069338,2.2961180948317083e-05,20.21236562728882,1988684.0,2
2,4,100000,0.9999579256926266,7.27841443738531e-05,3.984869956970215,391590.0,2
2,4,1000000,0.9999989968085522,7.101074939527633e-06,40.02018857002258,3923262.0,2
4,2,100000,1.001126832572009,0.0064160130892585675,2.006664514541626,195752.0,2
4,2,1000000,0.9982684068411977,0.0011031003244273499,20.693522214889526,1982480.0,2
4,4,100000,1.0013045823947582,0.0014584838899387661,4.039319038391113,391056.0,2
4,4,1000000,1.0000867672631155,0.00023905006047678556,41.06722927093506,3942117.0,2
6,2,100000,0.9503303521049212,0.05912044193073284,2.1143836975097656,199923.0,2
6,2,1000000,1.0023084884086861,0.00919645965093112,20.07093596458435,1925888.0,2
6,4,100000,0.9863060774277018,0.007302370732649195,4.118522644042969,398532.0,2
6,4,1000000,0.999731348512223,0.0011423680105623144,40.146663665771484,3879147.0,2
8,2,100000,0.6046753748053497,0.10131778266958759,2.007157802581787,191619.0,2
8,2,1000000,0.9690772741751147,0.16262712470835589,19.62925934791565,1876224.0,2
8,4,100000,1.0162958180187225,0.026847646777227435,4.094112396240234,387613.0,2
8,4,1000000,1.0044986264881643,0.005095268023277114,39.71883034706116,3778501.0,2
