ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc
2,100000,0.3183500522024013,1.249846340893079,0.13065147399902344,0.012964725494384766,1,0.09
2,1000000,0.3183138155557589,1.249812494016368,0.7769217491149902,0.01196742057800293,1,0.02
4,100000,0.10132756223755292,1.6481174025466268,0.1326456069946289,0.00698089599609375,1,0.05
4,1000000,0.10076948604310691,1.600234980781526,1.581770420074463,0.016954898834228516,1,0.01
6,100000,0.024961044662214625,1.7523648618596546,0.21442699432373047,0.007977962493896484,1,0.04
6,1000000,0.032726045791388006,2.337773424035782,2.419529676437378,0.02094411849975586,1,0.01
8,100000,0.001505974254223064,0.10392527652681977,0.29620838165283203,0.008975505828857422,1,0.03
8,1000000,0.0034168350582105852,0.4556286866528335,3.2423300743103027,0.023935794830322266,1,0.01
2,100000,0.3183403999585052,1.2500618320443437,0.0718085765838623,0.0019943714141845703,2,0.03
2,1000000,0.31828911367410323,1.2497091872385468,0.7679462432861328,0.010970354080200195,2,0.01
4,100000,0.10150572897171627,1.5857334738634037,0.14261913299560547,0.001994609832763672,2,0.01
4,1000000,0.10105570923685898,1.6079668145426813,1.5628204345703125,0.01595759391784668,2,0.01
6,100000,0.02843221517077338,1.6562926187206402,0.21741867065429688,0.0029916763305664062,2,0.01
6,1000000,0.029337829588052644,1.7849364978566256,2.4295034408569336,0.018949270248413086,2,0.01
8,100000,0.003612431459124013,0.2997368132283389,0.28822898864746094,0.002992391586303711,2,0.01
8,1000000,0.009064449973306465,1.2935777248927427,3.2094178199768066,0.022938013076782227,2,0.01
2,100000,0.3182190583474167,1.2492288813432462,0.06981348991394043,0.002991914749145508,3,0.04
2,1000000,0.3183181472991265,1.2498100555444513,0.7858986854553223,0.011968135833740234,3,0.02
4,100000,0.09915162301163484,1.5236447339022505,0.1436159610748291,0.0019943714141845703,3,0.01
4,1000000,0.10096016114801708,1.5985041516967937,1.5777814388275146,0.01495981216430664,3,0.01
6,100000,0.03304280461345569,1.8327923397949293,0.2184154987335205,0.002992391586303711,3,0.01
6,1000000,0.03166879287320309,2.334938340198338,2.42750883102417,0.018949270248413086,3,0.01
8,100000,0.001233739495918683,0.07232485608665884,0.29122066497802734,0.003989458084106445,3,0.01
8,1000000,0.005945636220977682,1.0747367112457449,3.2503085136413574,0.02293872833251953,3,0.01
2,100000,0.31826436024994736,1.249549117937421,0.07779169082641602,0.0019948482513427734,4,0.03
2,1000000,0.31831514909056235,1.2497720568357096,0.7669486999511719,0.011968612670898438,4,0.02
4,100000,0.10032461249159254,1.5184496510707517,0.1436161994934082,0.001995086669921875,4,0.01
4,1000000,0.10146589482768695,1.6105732270701867,1.5787780284881592,0.016954660415649414,4,0.01
6,100000,0.015640409715004102,0.5790911100023812,0.21941328048706055,0.002991914749145508,4,0.01
6,1000000,0.03182337795368962,2.15891883307682,2.4295029640197754,0.01894974708557129,4,0.01
8,100000,0.01606791174911331,0.9751773925116675,0.2822449207305908,0.003989219665527344,4,0.01
8,1000000,0.003667755905868859,0.5015148322285621,3.2642710208892822,0.02293872833251953,4,0.01
2,100000,0.318078924591382,1.2494122827208154,0.07679462432861328,0.0019948482513427734,5,0.03
2,1000000,0.31830196908159214,1.2497432982733632,0.7679460048675537,0.011967897415161133,5,0.02
4,100000,0.10203777064517053,1.647882372226369,0.14561128616333008,0.001994609832763672,5,0.01
4,1000000,0.10113255789388742,1.6114386727856194,1.6475939750671387,0.014960050582885742,5,0.01
6,100000,0.04827343063161055,4.080910629658626,0.21642112731933594,0.0039899349212646484,5,0.02
6,1000000,0.032889968028416386,2.923158167345966,2.4085586071014404,0.018949270248413086,5,0.01
8,100000,0.004517743109126667,0.4111290983069757,0.2932162284851074,0.0029921531677246094,5,0.01
8,1000000,0.00565296003541579,0.8208889935659567,3.2483131885528564,0.022939682006835938,5,0.01
2,100000,0.318141941224586,1.2494868478307117,0.07080960273742676,0.002991914749145508,6,0.04
2,1000000,0.31830310862277317,1.2497742181681766,0.7898881435394287,0.010970354080200195,6,0.01
4,100000,0.10315273072058406,1.583013553410382,0.13763213157653809,0.001995086669921875,6,0.01
4,1000000,0.10118574248244402,1.6083491076542522,1.5777807235717773,0.015956878662109375,6,0.01
6,100000,0.0670811811564866,5.054338051351433,0.20943999290466309,0.003990650177001953,6,0.02
6,1000000,0.032441670582545566,2.6870902186580943,2.447453737258911,0.019947528839111328,6,0.01
8,100000,0.000402729300662905,0.039127744672642815,0.267284631729126,0.003989219665527344,6,0.01
8,1000000,0.007052947735420795,1.2285421032104196,3.2961857318878174,0.0249330997467041,6,0.01
2,100000,0.3181540961028694,1.2490001894800669,0.0718083381652832,0.001994609832763672,7,0.03
2,1000000,0.31832028493486303,1.2498202649684738,0.759967565536499,0.011968135833740234,7,0.02
4,100000,0.10267793061109494,1.622114200873731,0.14361572265625,0.0019948482513427734,7,0.01
4,1000000,0.10152930285134572,1.6196320372698958,1.5957329273223877,0.01495981216430664,7,0.01
6,100000,0.025848621881656927,1.136355776751619,0.223402738571167,0.0029921531677246094,7,0.01
6,1000000,0.03632848428589453,2.8284270698154947,2.392601490020752,0.018949508666992188,7,0.01
8,100000,0.0004535978753004947,0.029236730445232586,0.28623437881469727,0.0029921531677246094,7,0.01
8,1000000,0.009391519450359312,1.603052170021042,3.266265630722046,0.021941423416137695,7,0.01
