ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,batch_num,eval_time_perc
2,1000000,0.318408473622933,0.703104409514486,0.07679343223571777,0.010970592498779297,1,0,0.13
2,1000000,0.31834818980504126,0.7029619045661157,0.07579803466796875,0.001993894577026367,1,1,0.03
2,1000000,0.3182992938728228,0.7028689853147158,0.08278036117553711,0.002991199493408203,1,2,0.03
2,1000000,0.31832418821911795,0.7030196633660425,0.08377552032470703,0.0029916763305664062,1,3,0.03
2,1000000,0.3183489049070645,0.7031088171094674,0.07779192924499512,0.0029921531677246094,1,4,0.04
2,1000000,0.3183346573139751,0.7029059888493987,0.07978701591491699,0.0019943714141845703,1,5,0.02
2,1000000,0.31833614427935014,0.7029687856717464,0.07679438591003418,0.0029921531677246094,1,6,0.04
2,1000000,0.3183803911197568,0.7031602894112521,0.07480001449584961,0.0029916763305664062,1,7,0.04
2,1000000,0.31829495081742565,0.7029752266005299,0.07679486274719238,0.001994609832763672,1,8,0.03
2,1000000,0.3182863673916437,0.7028776617963342,0.08178162574768066,0.0019943714141845703,1,9,0.02
2,10000000,0.31832307163322365,0.7029465503109167,0.7759249210357666,0.023935794830322266,1,0,0.03
2,10000000,0.31830284144819637,0.7029071375499939,0.8168163299560547,0.0249330997467041,1,1,0.03
2,10000000,0.3183136370907589,0.7029369708000887,0.8287837505340576,0.024933576583862305,1,2,0.03
2,10000000,0.31831173030729665,0.7029240195992118,0.8098342418670654,0.023936033248901367,1,3,0.03
2,10000000,0.31830177623232453,0.7028886286314519,0.8776531219482422,0.03291177749633789,1,4,0.04
2,10000000,0.3183086666403736,0.7029255116987514,0.8597011566162109,0.023935794830322266,1,5,0.03
2,10000000,0.31829976784101854,0.702902364611925,0.8846347332000732,0.0249330997467041,1,6,0.03
2,10000000,0.3183086963862847,0.7029142429449344,0.8716690540313721,0.024933338165283203,1,7,0.03
2,10000000,0.318305036562801,0.7029152108211144,0.8826396465301514,0.023936033248901367,1,8,0.03
2,10000000,0.3183009903429065,0.702899105317124,0.917546272277832,0.024933576583862305,1,9,0.03
4,1000000,0.1027464246159828,0.9409883359111721,0.14860248565673828,0.010970830917358398,1,0,0.07
4,1000000,0.0992395336578784,0.8989953157718167,0.15059685707092285,0.003989696502685547,1,1,0.03
4,1000000,0.10030362206941511,0.9241761727787627,0.1545865535736084,0.003989458084106445,1,2,0.03
4,1000000,0.1003980447227304,0.9027465811394552,0.16156792640686035,0.0029916763305664062,1,3,0.02
4,1000000,0.10277219045160683,0.9511997343036283,0.15658164024353027,0.0029916763305664062,1,4,0.02
4,1000000,0.10061828831753397,0.9142208106197833,0.1655573844909668,0.0029921531677246094,1,5,0.02
4,1000000,0.10132059733883284,0.9310268929275284,0.16456007957458496,0.002991914749145508,1,6,0.02
4,1000000,0.1038391371823475,0.967586237317194,0.16455984115600586,0.0029916763305664062,1,7,0.02
4,1000000,0.09980571996821319,0.8856666048617619,0.16156840324401855,0.002991914749145508,1,8,0.02
4,1000000,0.10111769534348365,0.9419631417339787,0.1625652313232422,0.0029921531677246094,1,9,0.02
4,10000000,0.10131723072976741,0.9259462057149179,1.6106925010681152,0.03191494941711426,1,0,0.02
4,10000000,0.10133495389165427,0.9303079337408446,1.62565279006958,0.03291201591491699,1,1,0.02
4,10000000,0.10149043791069474,0.9312308861069206,1.724388599395752,0.0359039306640625,1,2,0.02
4,10000000,0.10096383854435538,0.9243777715719594,1.71840500831604,0.0359036922454834,1,3,0.02
4,10000000,0.10115806365241478,0.9247564425274966,1.7942023277282715,0.032912254333496094,1,4,0.02
4,10000000,0.1013792952859668,0.9327788691905291,1.8111562728881836,0.0329129695892334,1,5,0.02
4,10000000,0.10111407073604775,0.9268581454688926,1.840078592300415,0.032912254333496094,1,6,0.02
4,10000000,0.10117032070704879,0.9253691334124535,1.802180290222168,0.03291201591491699,1,7,0.02
4,10000000,0.10145279487903489,0.9322860370401825,1.8919413089752197,0.03490638732910156,1,8,0.02
4,10000000,0.10120186887034552,0.9288303917256107,1.8829646110534668,0.03490710258483887,1,9,0.02
6,1000000,0.02493836911057071,0.7223506228716793,0.22041010856628418,0.014960289001464844,1,0,0.06
6,1000000,0.03333824536691052,1.139203682776056,0.2234022617340088,0.003989458084106445,1,1,0.02
6,1000000,0.030004220081832487,0.7932341218048181,0.2373654842376709,0.003988981246948242,1,2,0.02
6,1000000,0.025521816914521052,0.8107393065895454,0.2373652458190918,0.004986286163330078,1,3,0.02
6,1000000,0.03708482041870795,1.817356925757307,0.24434709548950195,0.003989219665527344,1,4,0.02
6,1000000,0.04158636421964683,1.8264685909179157,0.2433490753173828,0.004986763000488281,1,5,0.02
6,1000000,0.025280950875865103,0.9138249851089113,0.24634170532226562,0.003988981246948242,1,6,0.02
6,1000000,0.021293653562098863,0.5559760131157901,0.24634099006652832,0.004986763000488281,1,7,0.02
6,1000000,0.03337219061053909,1.4703820816600301,0.26628804206848145,0.003989219665527344,1,8,0.01
6,1000000,0.029377108651621256,0.9520160713463315,0.26130127906799316,0.004987239837646484,1,9,0.02
6,10000000,0.03086012793879588,1.172253350341256,2.4035723209381104,0.04487967491149902,1,0,0.02
6,10000000,0.0376452951565577,1.7238401960299483,2.6209912300109863,0.04388284683227539,1,1,0.02
6,10000000,0.03100516351502754,1.2868458394130848,2.588078737258911,0.04188823699951172,1,2,0.02
6,10000000,0.032341239000042966,1.3891031120881585,2.6379456520080566,0.04388284683227539,1,3,0.02
6,10000000,0.030702563429693082,1.1852386998429547,2.722719430923462,0.04587721824645996,1,4,0.02
6,10000000,0.03489509605534631,1.604010752888772,2.7656049728393555,0.04487967491149902,1,5,0.02
6,10000000,0.03260419071399752,1.2491454046243626,2.8015079498291016,0.04188823699951172,1,6,0.01
6,10000000,0.035863538360229257,1.526004987631656,2.7287027835845947,0.04089093208312988,1,7,0.01
6,10000000,0.03418251806843817,1.3115410517581538,2.8633432388305664,0.04288482666015625,1,8,0.01
6,10000000,0.033064691758362845,1.3966068305937775,2.853370189666748,0.04089093208312988,1,9,0.01
8,1000000,0.004307803468464483,0.27794389860918234,0.2922182083129883,0.013962745666503906,1,0,0.05
8,1000000,0.003103980912542321,0.17037405555021626,0.307178258895874,0.005984067916870117,1,1,0.02
8,1000000,0.008031179983685195,0.43769754070449374,0.31116795539855957,0.005984067916870117,1,2,0.02
8,1000000,0.007305849491772759,0.6260322812169574,0.3031890392303467,0.004986763000488281,1,3,0.02
8,1000000,0.0371139285701479,3.9830824098800868,0.32213878631591797,0.005983829498291016,1,4,0.02
8,1000000,0.0029714580961996994,0.18483177020203115,0.3291201591491699,0.004986286163330078,1,5,0.01
8,1000000,0.0017038681474262885,0.10362964794834355,0.34108829498291016,0.00498652458190918,1,6,0.01
8,1000000,0.009422397053758387,0.630316147024566,0.33011698722839355,0.005983829498291016,1,7,0.02
8,1000000,0.0023048012005025026,0.17370679944605083,0.32213902473449707,0.00498652458190918,1,8,0.02
8,1000000,0.001787709028943815,0.08638531245045335,0.3450770378112793,0.00498652458190918,1,9,0.01
8,10000000,0.015102247518210798,3.1625665710284707,3.274245500564575,0.050863027572631836,1,0,0.02
8,10000000,0.004331072215236462,0.4704609285083179,3.4078872203826904,0.05385565757751465,1,1,0.02
8,10000000,0.009067773355837387,0.8850214319080639,3.5564897060394287,0.05684781074523926,1,2,0.02
8,10000000,0.008766625464855246,0.8935140692516443,3.5116097927093506,0.055850982666015625,1,3,0.02
8,10000000,0.006340456043192007,0.7307513796162066,3.7210490703582764,0.05086374282836914,1,4,0.01
8,10000000,0.004228715926693362,0.4439955291387826,3.692127227783203,0.05385589599609375,1,5,0.01
8,10000000,0.012459973391126769,1.6183239498263255,3.7020998001098633,0.05186152458190918,1,6,0.01
8,10000000,0.006273864575310651,0.6237592356719351,3.6741750240325928,0.05385613441467285,1,7,0.01
8,10000000,0.0035886233510158305,0.28903957356769877,3.8576838970184326,0.053856849670410156,1,8,0.01
8,10000000,0.007846261903859461,1.1217221994808064,3.8975768089294434,0.05385613441467285,1,9,0.01
2,1000000,0.3183066187932868,0.7028143305860384,0.0718073844909668,0.002992868423461914,2,0,0.04
2,1000000,0.31829297739302026,0.7027590172545022,0.07080984115600586,0.0019948482513427734,2,1,0.03
2,1000000,0.3182150259823355,0.7027293225225874,0.07779169082641602,0.001995086669921875,2,2,0.03
