ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,batch_num,eval_time_perc
2,1000000,0.3183500522024013,1.249846340893079,0.08078408241271973,0.0069811344146728516,1,0,0.08
2,1000000,0.31849548443622094,1.250229932886803,0.07380294799804688,0.000997781753540039,1,1,0.01
2,1000000,0.31849044059278636,1.250344471916972,0.08178114891052246,0.0009968280792236328,1,2,0.01
2,1000000,0.3182517663083129,1.2494314614736233,0.0797872543334961,0.0019943714141845703,1,3,0.02
2,1000000,0.3182600358720414,1.2495364299546168,0.07978701591491699,0.001995086669921875,1,4,0.02
2,1000000,0.3182338056301755,1.2492647052610657,0.08178019523620605,0.0009975433349609375,1,5,0.01
2,1000000,0.3184756154074083,1.2504252091155628,0.07978630065917969,0.0019948482513427734,1,6,0.02
2,1000000,0.3184071827426546,1.2504875658700574,0.0827786922454834,0.0009968280792236328,1,7,0.01
2,1000000,0.3182723389539216,1.2496714584043485,0.07978701591491699,0.001994609832763672,1,8,0.02
2,1000000,0.3182721068014307,1.2498684202054782,0.07779192924499512,0.0009975433349609375,1,9,0.01
2,10000000,0.3183163306327311,1.2497945843104954,0.7679464817047119,0.011967897415161133,1,0,0.02
2,10000000,0.3182955676659431,1.249723034694375,0.799860954284668,0.012965202331542969,1,1,0.02
2,10000000,0.31830176018631573,1.2497393944441264,0.8287837505340576,0.01296544075012207,1,2,0.02
2,10000000,0.3183158331823897,1.2497503803504384,0.8686771392822266,0.012965202331542969,1,3,0.01
2,10000000,0.3183205554649428,1.249819614663905,0.872666597366333,0.012965202331542969,1,4,0.01
2,10000000,0.31829327646944616,1.2497140584042619,0.8906185626983643,0.012964963912963867,1,5,0.01
2,10000000,0.31829713741363014,1.2497060454615478,0.8626933097839355,0.01296544075012207,1,6,0.01
2,10000000,0.31831226556575354,1.249758970313744,0.871668815612793,0.01296544075012207,1,7,0.01
2,10000000,0.31830269951014334,1.249727643180988,0.8946077823638916,0.011968374252319336,1,8,0.01
2,10000000,0.31829655135683205,1.2497236209852074,0.916548490524292,0.010970830917358398,1,9,0.01
4,1000000,0.09963900487450944,1.6161072374093077,0.1515946388244629,0.006981372833251953,1,0,0.04
4,1000000,0.09807600294672887,1.5043610243776648,0.15259170532226562,0.0019948482513427734,1,1,0.01
4,1000000,0.097571583677534,1.4763581045135588,0.151594877243042,0.0019941329956054688,1,2,0.01
4,1000000,0.09995342544606818,1.603233927927361,0.15857648849487305,0.0019943714141845703,1,3,0.01
