ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc
2,100000,77.36441579125452,15.621066165983997,0.0069806575775146484,0.004986763000488281,1,0.42
2,1000000,77.36439514433233,15.621325406482685,0.0029916763305664062,0.00797891616821289,1,0.73
4,100000,7686.260263886282,1351.5012605288255,0.000997304916381836,0.004987239837646484,1,0.83
4,1000000,7686.201487715079,1351.6951853812475,0.00498652458190918,0.009973526000976562,1,0.67
6,100000,109679.39762970763,230045.51174517165,0.003989696502685547,0.003988981246948242,1,0.5
6,1000000,109675.01950139328,230051.20459679997,0.0069811344146728516,0.010969877243041992,1,0.61
8,100000,-54074420.9701782,16810557.30162872,0.004987478256225586,0.003988981246948242,1,0.44
8,1000000,-54074078.76417453,16803121.529081915,0.0069811344146728516,0.010970592498779297,1,0.61
2,100000,77.36441579125452,15.621066165983997,0.004986763000488281,0.0029921531677246094,2,0.38
2,1000000,77.36439514433233,15.621325406482685,0.001994609832763672,0.009973526000976562,2,0.83
4,100000,7686.260263886282,1351.5012605288255,0.000997304916381836,0.0029921531677246094,2,0.75
4,1000000,7686.201487715079,1351.6951853812475,0.0029921531677246094,0.008975982666015625,2,0.75
6,100000,109679.39762970763,230045.51174517165,0.003988981246948242,0.0019953250885009766,2,0.33
6,1000000,109675.01950139328,230051.20459679997,0.006980419158935547,0.009974002838134766,2,0.59
8,100000,-54074420.9701782,16810557.30162872,0.004986763000488281,0.0019943714141845703,2,0.29
8,1000000,-54074078.76417453,16803121.529081915,0.008975744247436523,0.010970830917358398,2,0.55
2,100000,77.36441579125452,15.621066165983997,0.0059833526611328125,0.0009980201721191406,3,0.14
2,1000000,77.36439514433233,15.621325406482685,0.0019943714141845703,0.007979154586791992,3,0.8
4,100000,7686.260263886282,1351.5012605288255,0.0019941329956054688,0.0019953250885009766,3,0.5
4,1000000,7686.201487715079,1351.6951853812475,0.0049860477447509766,0.008976221084594727,3,0.64
6,100000,109679.39762970763,230045.51174517165,0.003989458084106445,0.0019943714141845703,3,0.33
6,1000000,109675.01950139328,230051.20459679997,0.005983829498291016,0.009973526000976562,3,0.63
8,100000,-54074420.9701782,16810557.30162872,0.005984783172607422,0.0019941329956054688,3,0.25
8,1000000,-54074078.76417453,16803121.529081915,0.009973287582397461,0.009973764419555664,3,0.5
2,100000,77.36441579125452,15.621066165983997,0.0059833526611328125,0.001995086669921875,4,0.25
2,1000000,77.36439514433233,15.621325406482685,0.0029914379119873047,0.007979393005371094,4,0.73
4,100000,7686.260263886282,1351.5012605288255,0.001993894577026367,0.001995086669921875,4,0.5
4,1000000,7686.201487715079,1351.6951853812475,0.0029916763305664062,0.009973287582397461,4,0.77
6,100000,109679.39762970763,230045.51174517165,0.0029921531677246094,0.0019948482513427734,4,0.4
6,1000000,109675.01950139328,230051.20459679997,0.0069811344146728516,0.009973764419555664,4,0.59
8,100000,-54074420.9701782,16810557.30162872,0.0049860477447509766,0.002003192901611328,4,0.29
8,1000000,-54074078.76417453,16803121.529081915,0.00896763801574707,0.010970592498779297,4,0.55
2,100000,77.36441579125452,15.621066165983997,0.00797891616821289,0.0019948482513427734,5,0.2
2,1000000,77.36439514433233,15.621325406482685,0.0019943714141845703,0.007978677749633789,5,0.8
4,100000,7686.260263886282,1351.5012605288255,0.0019948482513427734,0.001994609832763672,5,0.5
4,1000000,7686.201487715079,1351.6951853812475,0.0029921531677246094,0.009973287582397461,5,0.77
6,100000,109679.39762970763,230045.51174517165,0.0029916763305664062,0.002991914749145508,5,0.5
6,1000000,109675.01950139328,230051.20459679997,0.006981849670410156,0.009972572326660156,5,0.59
8,100000,-54074420.9701782,16810557.30162872,0.00399017333984375,0.001994609832763672,5,0.33
8,1000000,-54074078.76417453,16803121.529081915,0.007978200912475586,0.011968135833740234,5,0.6
2,100000,77.36441579125452,15.621066165983997,0.004986286163330078,0.001995086669921875,6,0.29
2,1000000,77.36439514433233,15.621325406482685,0.0019941329956054688,0.007979154586791992,6,0.8
4,100000,7686.260263886282,1351.5012605288255,0.0019943714141845703,0.001995086669921875,6,0.5
4,1000000,7686.201487715079,1351.6951853812475,0.0029916763305664062,0.008975982666015625,6,0.75
6,100000,109679.39762970763,230045.51174517165,0.003988981246948242,0.001994609832763672,6,0.33
6,1000000,109675.01950139328,230051.20459679997,0.005984067916870117,0.008976459503173828,6,0.6
8,100000,-54074420.9701782,16810557.30162872,0.004986286163330078,0.0019948482513427734,6,0.29
8,1000000,-54074078.76417453,16803121.529081915,0.006981372833251953,0.009973526000976562,6,0.59
2,100000,77.36441579125452,15.621066165983997,0.004986763000488281,0.0019948482513427734,7,0.29
2,1000000,77.36439514433233,15.621325406482685,0.001994609832763672,0.007978677749633789,7,0.8
4,100000,7686.260263886282,1351.5012605288255,0.001994609832763672,0.0019948482513427734,7,0.5
4,1000000,7686.201487715079,1351.6951853812475,0.004986763000488281,0.008976221084594727,7,0.64
6,100000,109679.39762970763,230045.51174517165,0.003989219665527344,0.0019948482513427734,7,0.33
6,1000000,109675.01950139328,230051.20459679997,0.007978439331054688,0.008975505828857422,7,0.53
8,100000,-54074420.9701782,16810557.30162872,0.003989219665527344,0.002992391586303711,7,0.43
8,1000000,-54074078.76417453,16803121.529081915,0.007978677749633789,0.011967658996582031,7,0.6
