ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,total_time,eval_time_perc
2,1000000,0.9984321546850513,0.003118722274803457,0.02014608383178711,0.08716704845428466,0.10731313228607178,0.8140000000000001
4,1000000,0.9966442677130338,0.018204465857419642,0.03011937141418457,0.13623583316802979,0.16635520458221437,0.821
6,1000000,1.0062334691212687,0.10201525944069337,0.04418175220489502,0.17991952896118163,0.22410128116607667,0.8019999999999999
8,1000000,1.076855999754914,0.49361691269320385,0.05973992347717285,0.2320796489715576,0.29181957244873047,0.796
