ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,total_time,eval_time_perc
2,8388608,0.9999993069410171,0.012188748619368325,0.2124319076538086,0.1830158233642578,1,0.3954477310180664,0.46
4,8388608,0.9994951862422333,0.19766955281132126,0.0937495231628418,0.12765860557556152,1,0.22140812873840332,0.58
6,8388608,1.9072188648096988,4.96565955140437,0.13464021682739258,0.14611434936523438,1,0.28075456619262695,0.52
8,8388608,110.7402097341024,178.98556306185537,0.19448041915893555,0.13763117790222168,1,0.3321115970611572,0.41
2,8388608,0.9999993069410171,0.012188748619368325,0.0827789306640625,0.12566351890563965,2,0.20844244956970215,0.6
4,8388608,0.9994951862422333,0.19766955281132126,0.09026694297790527,0.1296525001525879,2,0.21991944313049316,0.59
6,8388608,1.9072188648096988,4.96565955140437,0.13962697982788086,0.129652738571167,2,0.26927971839904785,0.48
8,8388608,110.7402097341024,178.98556306185537,0.18650174140930176,0.1356370449066162,2,0.32213878631591797,0.42
2,8388608,0.9999993069410171,0.012188748619368325,0.0827784538269043,0.11369585990905762,3,0.19647431373596191,0.58
4,8388608,0.9994951862422333,0.19766955281132126,0.09075736999511719,0.12118124961853027,3,0.21193861961364746,0.57
6,8388608,1.9072188648096988,4.96565955140437,0.13364243507385254,0.1306912899017334,3,0.26433372497558594,0.49
8,8388608,110.7402097341024,178.98556306185537,0.18151450157165527,0.13164806365966797,3,0.31316256523132324,0.42
2,8388608,0.9999993069410171,0.012188748619368325,0.08178138732910156,0.10970640182495117,4,0.19148778915405273,0.57
4,8388608,0.9994951862422333,0.19766955281132126,0.09474658966064453,0.1361854076385498,4,0.23093199729919434,0.59
6,8388608,1.9072188648096988,4.96565955140437,0.13962697982788086,0.13862943649291992,4,0.2782564163208008,0.5
8,8388608,110.7402097341024,178.98556306185537,0.19148755073547363,0.13463973999023438,4,0.326127290725708,0.41
2,8388608,0.9999993069410171,0.012188748619368325,0.0827786922454834,0.12317609786987305,5,0.20595479011535645,0.6
4,8388608,0.9994951862422333,0.19766955281132126,0.08975982666015625,0.12865591049194336,5,0.2184157371520996,0.59
6,8388608,1.9072188648096988,4.96565955140437,0.15111017227172852,0.13164496421813965,5,0.28275513648986816,0.47
8,8388608,110.7402097341024,178.98556306185537,0.18650197982788086,0.1436164379119873,5,0.33011841773986816,0.44
2,8388608,0.9999993069410171,0.012188748619368325,0.08428025245666504,0.12466669082641602,6,0.20894694328308105,0.6
4,8388608,0.9994951862422333,0.19766955281132126,0.0857701301574707,0.12366962432861328,6,0.20943975448608398,0.59
6,8388608,1.9072188648096988,4.96565955140437,0.14261865615844727,0.13862895965576172,6,0.281247615814209,0.49
8,8388608,110.7402097341024,178.98556306185537,0.18849587440490723,0.1356370449066162,6,0.32413291931152344,0.42
2,8388608,0.9999993069410171,0.012188748619368325,0.08178162574768066,0.11269831657409668,7,0.19447994232177734,0.58
4,8388608,0.9994951862422333,0.19766955281132126,0.09325838088989258,0.13663434982299805,7,0.22989273071289062,0.59
6,8388608,1.9072188648096988,4.96565955140437,0.13663458824157715,0.13364243507385254,7,0.2702770233154297,0.49
8,8388608,110.7402097341024,178.98556306185537,0.1825122833251953,0.14162111282348633,7,0.32413339614868164,0.44
2,8388608,0.9999993069410171,0.012188748619368325,0.08776593208312988,0.1266613006591797,8,0.21442723274230957,0.59
4,8388608,0.9994951862422333,0.19766955281132126,0.10471916198730469,0.13215208053588867,8,0.23687124252319336,0.56
6,8388608,1.9072188648096988,4.96565955140437,0.13663506507873535,0.13763213157653809,8,0.27426719665527344,0.5
8,8388608,110.7402097341024,178.98556306185537,0.19199156761169434,0.13962650299072266,8,0.331618070602417,0.42
2,8388608,0.9999993069410171,0.012188748619368325,0.07878971099853516,0.11269831657409668,9,0.19148802757263184,0.59
4,8388608,0.9994951862422333,0.19766955281132126,0.08776545524597168,0.1271650791168213,9,0.21493053436279297,0.59
6,8388608,1.9072188648096988,4.96565955140437,0.1326451301574707,0.13463973999023438,9,0.2672848701477051,0.5
8,8388608,110.7402097341024,178.98556306185537,0.18102145195007324,0.1376323699951172,9,0.31865382194519043,0.43
2,8388608,0.9999993069410171,0.012188748619368325,0.09474611282348633,0.12366914749145508,10,0.2184152603149414,0.57
4,8388608,0.9994951862422333,0.19766955281132126,0.08477401733398438,0.12765812873840332,10,0.2124321460723877,0.6
6,8388608,1.9072188648096988,4.96565955140437,0.13913488388061523,0.12865591049194336,10,0.2677907943725586,0.48
8,8388608,110.7402097341024,178.98556306185537,0.18955659866333008,0.1406235694885254,10,0.33018016815185547,0.43
