ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,total_time,eval_time_perc
2,1000000,0.999994436885357,0.0031229861074537103,0.7399218797683715,0.08497300148010253,0.8248948812484741,0.10300000000000001
4,1000000,0.9994114322600236,0.018342393035835697,1.489318299293518,0.13633558750152588,1.6256538867950439,0.082
6,1000000,1.0083440209585628,0.10588123311105595,2.2546720266342164,0.18251197338104247,2.4371840000152587,0.075
8,1000000,1.2368606917191431,0.6393688569764346,3.0292014122009276,0.23277747631072998,3.2619788885116576,0.07100000000000001
