ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,total_time,eval_time_perc
2,1000000,1.0000134183845943,0.005552568876540934,0.7320427894592285,0.034906625747680664,1,0.7669494152069092,0.05
4,1000000,0.9968635454489778,0.031781726812011336,1.4900166988372803,0.05285811424255371,1,1.542874813079834,0.03
6,1000000,1.0118308782705971,0.1976193733805267,2.24599552154541,0.07081079483032227,1,2.3168063163757324,0.03
8,1000000,0.18182745781624046,0.05343189591303684,3.027904748916626,0.08876276016235352,1,3.1166675090789795,0.03
2,1000000,0.9999700594804429,0.0055524727261689385,0.743013858795166,0.03390908241271973,2,0.7769229412078857,0.04
4,1000000,1.0029725118184079,0.032199275462547396,1.5279152393341064,0.05385613441467285,2,1.5817713737487793,0.03
6,1000000,0.9135262308531199,0.174253494261588,2.233029842376709,0.07081055641174316,2,2.303840398788452,0.03
8,1000000,0.8247630716555174,0.49156880533820707,3.008955240249634,0.08776545524597168,2,3.0967206954956055,0.03
2,1000000,1.0000185131513593,0.005552676428161942,0.7639575004577637,0.0359039306640625,3,0.7998614311218262,0.04
4,1000000,1.002703501230819,0.03180591432097128,1.5149500370025635,0.047872066497802734,3,1.5628221035003662,0.03
6,1000000,1.0257997734438606,0.1641665184290382,2.2948646545410156,0.06981348991394043,3,2.364678144454956,0.03
8,1000000,0.5016991114811132,0.23864205298919317,3.014939546585083,0.08975958824157715,3,3.10469913482666,0.03
2,1000000,0.9999622313993124,0.0055524088007770965,0.7240641117095947,0.03390955924987793,4,0.7579736709594727,0.04
4,1000000,0.9965960456535963,0.03152694407441256,1.5338995456695557,0.05385541915893555,4,1.5877549648284912,0.03
6,1000000,0.9760466861519108,0.1446164850195906,2.277909994125366,0.06881594657897949,4,2.3467259407043457,0.03
8,1000000,0.6065502798884909,0.2800135117573612,3.0269081592559814,0.08776450157165527,4,3.1146726608276367,0.03
2,1000000,0.9999589143027318,0.005552509612945734,0.7360324859619141,0.03390932083129883,5,0.7699418067932129,0.04
4,1000000,1.0001285451206774,0.031774355103588864,1.5668113231658936,0.05186104774475098,5,1.6186723709106445,0.03
6,1000000,0.9804472499104667,0.14737309659998918,2.310821771621704,0.06482696533203125,5,2.3756487369537354,0.03
8,1000000,0.4015317251696422,0.1451860128766543,3.0039687156677246,0.07878923416137695,5,3.0827579498291016,0.03
2,1000000,0.9999867889979922,0.005552372770556272,0.7230672836303711,0.03390908241271973,6,0.7569763660430908,0.04
4,1000000,0.9923738869915482,0.03145720605213327,1.5119578838348389,0.05186152458190918,6,1.563819408416748,0.03
6,1000000,0.9522123382774803,0.14515127924156798,2.3287742137908936,0.0718080997467041,6,2.4005823135375977,0.03
8,1000000,0.13406891890914222,0.04265403394961591,3.0239155292510986,0.08876252174377441,6,3.112678050994873,0.03
2,1000000,1.0000092229496564,0.005552753285066433,0.7230668067932129,0.034906625747680664,7,0.7579734325408936,0.05
4,1000000,1.0041729848466325,0.03215617785082605,1.5119576454162598,0.05485367774963379,7,1.5668113231658936,0.04
6,1000000,1.004098825491454,0.1687634704348943,2.1841604709625244,0.06382942199707031,7,2.2479898929595947,0.03
8,1000000,1.3068068257737364,0.6668324357259654,3.0129446983337402,0.07779192924499512,7,3.0907366275787354,0.03
2,1000000,0.9999651830804271,0.005552321664082621,0.744011402130127,0.03490591049194336,8,0.7789173126220703,0.04
4,1000000,1.001296291255708,0.03195072733558604,1.5468647480010986,0.04787182807922363,8,1.5947365760803223,0.03
6,1000000,1.310202006587779,0.2510931547310588,2.2958621978759766,0.0718080997467041,8,2.3676702976226807,0.03
8,1000000,0.4684065993169055,0.1840589704757998,3.0638086795806885,0.08078408241271973,8,3.144592761993408,0.03
2,1000000,1.0000282193284236,0.005552702351122794,0.7509922981262207,0.03291177749633789,9,0.7839040756225586,0.04
4,1000000,0.9981613623408,0.03165373971499526,1.5119576454162598,0.05186128616333008,9,1.5638189315795898,0.03
6,1000000,1.0639322933799185,0.1616011909067397,2.252976655960083,0.06283211708068848,9,2.3158087730407715,0.03
8,1000000,1.4308000544151633,0.6267214296901391,3.020923614501953,0.08975982666015625,9,3.1106834411621094,0.03
2,1000000,0.9999737613940439,0.005552530852737096,0.7390244007110596,0.036901235580444336,10,0.7759256362915039,0.05
4,1000000,0.9975370181401726,0.031703526971762416,1.543872594833374,0.05285835266113281,10,1.5967309474945068,0.03
6,1000000,0.9003196248406788,0.14630365017256053,2.244997978210449,0.06981348991394043,10,2.3148114681243896,0.03
8,1000000,0.5889398950750221,0.30937927991110015,2.968065023422241,0.08776521682739258,10,3.055830240249634,0.03
