ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,total_time,eval_time_perc
2,1000000,0.9999641278260357,0.003122871556424117,0.0074798583984375,0.08557119369506835,0.09305105209350586,0.9179999999999999
4,1000000,1.0010022895590314,0.018420711822311173,0.004787135124206543,0.13493971824645995,0.1397268533706665,0.9650000000000001
6,1000000,1.0109566903631388,0.1134496092796466,0.00807797908782959,0.1795201063156128,0.1875980854034424,0.9570000000000001
8,1000000,2.492089552098284,1.4305017937482056,0.01047201156616211,0.23267817497253418,0.2431501865386963,0.9570000000000001
