ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc
2,10000,0.9845923613736386,0.0540403779174291,0.014960050582885742,0.0,1,0.0
2,100000,1.0018960429415287,0.017635953467488873,0.001995086669921875,0.002991199493408203,1,0.6
2,1000000,1.0042117605616094,0.0055506759970793155,0.013962745666503906,0.03889584541320801,1,0.74
2,10000000,0.9982250416361168,0.0017539759478213256,0.13065028190612793,0.40790891647338867,1,0.76
4,10000,1.4072619030679656,0.3838885645019437,0.009973287582397461,0.004987239837646484,1,0.33
4,100000,0.9680713822806196,0.08714069431717339,0.002991914749145508,0.003988742828369141,1,0.57
4,1000000,0.9992555432492238,0.031387910718506135,0.02692866325378418,0.05285835266113281,1,0.66
4,10000000,1.0025390985105336,0.010083637130045788,0.26331114768981934,0.524580717086792,1,0.67
6,10000,0.31762965163404555,0.2253968432601921,0.019947052001953125,0.0059833526611328125,1,0.23
6,100000,0.7434064708000813,0.2527185766838191,0.003989458084106445,0.005984306335449219,1,0.6
6,1000000,1.0490531345070238,0.1494312580841773,0.03989267349243164,0.06283211708068848,1,0.61
6,10000000,0.9571477020092564,0.05597525077339386,0.39594078063964844,0.6343040466308594,1,0.62
8,10000,0.0013793035482801035,0.0013613426819235538,0.030916452407836914,0.00598454475402832,1,0.16
8,100000,0.34761413758768,0.2561895252431437,0.004987001419067383,0.006980419158935547,1,0.58
8,1000000,2.7158169536115664,1.91193699897274,0.05285835266113281,0.07480049133300781,1,0.59
8,10000000,1.1488503697439423,0.332952751490679,0.5285854339599609,0.7270550727844238,1,0.58
2,10000,1.053883991152778,0.05563410616462635,0.04089069366455078,0.005984067916870117,2,0.13
2,100000,0.9691830304052163,0.01727719039117722,0.000997304916381836,0.003989458084106445,2,0.8
2,1000000,0.9980095133720586,0.005543675498110448,0.012964963912963867,0.04288530349731445,2,0.77
2,10000000,1.000296024376387,0.0017563880953065422,0.13164758682250977,0.40790891647338867,2,0.76
4,10000,0.7177333186333171,0.24340000985150367,0.010970830917358398,0.00498652458190918,2,0.31
4,100000,0.962704125947763,0.0992359633555399,0.002991914749145508,0.003989458084106445,2,0.57
4,1000000,1.0128389295381777,0.032187262048697485,0.026927709579467773,0.04886937141418457,2,0.64
4,10000000,1.0010438246382753,0.010043214651355303,0.26429271697998047,0.5156207084655762,2,0.66
6,10000,0.2711363799984118,0.22646640374283883,0.021941661834716797,0.005983829498291016,2,0.21
6,100000,0.6334242627723901,0.4103613516171494,0.003989219665527344,0.004987001419067383,2,0.56
6,1000000,1.1294187966902265,0.2022936812189887,0.03989291191101074,0.0608372688293457,2,0.6
6,10000000,1.139011480684912,0.06902070660830013,0.39594078063964844,0.6303138732910156,2,0.61
8,10000,0.11629670842782688,0.11607575246331604,0.03291177749633789,0.005984067916870117,2,0.15
8,100000,0.041624136637168685,0.018400913488742187,0.004986763000488281,0.005983829498291016,2,0.55
8,1000000,1.2781668693919606,0.6580760084641648,0.05385589599609375,0.071807861328125,2,0.57
8,10000000,1.200726197340011,0.39240103336875587,0.529583215713501,0.7230658531188965,2,0.58
2,10000,0.9647433200970199,0.0542223970702781,0.04188799858093262,0.005983829498291016,3,0.12
2,100000,1.0202630781015736,0.017933858630600454,0.001994609832763672,0.0029921531677246094,3,0.6
2,1000000,0.9942485459812901,0.005534352685266571,0.01296544075012207,0.04288506507873535,3,0.77
2,10000000,1.0005470829132876,0.0017551510662219365,0.1326448917388916,0.40990352630615234,3,0.76
4,10000,0.7355365923633687,0.2536967176851024,0.011968374252319336,0.005983591079711914,3,0.33
4,100000,1.062821609144126,0.10145053326260982,0.001994609832763672,0.003989458084106445,3,0.67
4,1000000,1.0082302108961045,0.031979042704734555,0.026927709579467773,0.049866676330566406,3,0.65
4,10000000,1.00511995938543,0.010141718308358093,0.26429295539855957,0.517615556716919,3,0.66
6,10000,0.2880908906562191,0.20677658992978337,0.021941184997558594,0.0069811344146728516,3,0.24
6,100000,0.43252680304460506,0.15276380287808958,0.003989219665527344,0.004986763000488281,3,0.56
6,1000000,0.9489137984683275,0.15521066214663712,0.039893150329589844,0.0608372688293457,3,0.6
6,10000000,1.002013614377584,0.05844098230020748,0.3979353904724121,0.6253273487091064,3,0.61
8,10000,0.0009561307736165064,0.0006300290293295549,0.031914472579956055,0.006981372833251953,3,0.18
8,100000,0.7357567487810658,0.6276920584970488,0.004986763000488281,0.005984067916870117,3,0.55
8,1000000,0.6519963129857588,0.3575118694593549,0.05385565757751465,0.07280540466308594,3,0.57
8,10000000,0.7623422580468977,0.14857948390872291,0.529583215713501,0.7270545959472656,3,0.58
