ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc,total_time
2,10000,0.8695566470268623,0.23890517510012343,0.0,0.000997781753540039,1,1.0,0.000997781753540039
2,100000,0.9867376809980662,0.08570579665195312,0.001993417739868164,0.004987239837646484,1,0.71,0.0069806575775146484
2,1000000,0.9695893205034913,0.02725943693000446,0.012964725494384766,0.05984020233154297,1,0.82,0.07280492782592773
2,10000000,1.0056517256487718,0.008950975268968849,0.1296534538269043,0.603386402130127,1,0.82,0.7330398559570312
4,10000,7.461582361771067e-06,7.322689852029204e-06,0.008975982666015625,0.004986763000488281,1,0.36,0.013962745666503906
4,100000,0.004847816980171969,0.004843826475625161,0.002991914749145508,0.005984067916870117,1,0.67,0.008975982666015625
4,1000000,0.3957554150470267,0.2072653840833668,0.026927947998046875,0.07679486274719238,1,0.74,0.10372281074523926
4,10000000,1.5140423628365616,0.346129004000858,0.26329612731933594,0.7729332447052002,1,0.75,1.0362293720245361
6,10000,5.151592164573694e-47,5.151592164573695e-47,0.018949508666992188,0.007978677749633789,1,0.3,0.026928186416625977
6,100000,4.582808461418945e-25,4.582700718942806e-25,0.003989219665527344,0.007978677749633789,1,0.67,0.011967897415161133
6,1000000,1.4644777492231936e-13,1.4236673262077165e-13,0.039893388748168945,0.08776545524597168,1,0.69,0.12765884399414062
6,10000000,0.016632652681271672,0.01552375553876385,0.3949439525604248,0.8876268863677979,1,0.69,1.2825708389282227
8,10000,5.86235033437828e-144,5.862350334378279e-144,0.028922557830810547,0.005983591079711914,1,0.17,0.03490614891052246
8,100000,3.7890388719982216e-64,3.789038855736341e-64,0.004987001419067383,0.008976221084594727,1,0.64,0.01396322250366211
8,1000000,1.1510897657915823e-17,1.1510897657915821e-17,0.052858591079711914,0.09574389457702637,1,0.64,0.14860248565673828
8,10000000,1.3994710480108532e-15,1.3987737754921555e-15,0.5226027965545654,0.991349458694458,1,0.65,1.5139522552490234
2,10000,0.8858204820913461,0.3004811403646078,0.04288530349731445,0.007979154586791992,2,0.16,0.050864458084106445
2,100000,1.0036283712830385,0.0895081829070713,0.0009970664978027344,0.004986286163330078,2,0.83,0.0059833526611328125
2,1000000,0.994976325521694,0.028202906339469275,0.01296544075012207,0.05984020233154297,2,0.82,0.07280564308166504
2,10000000,1.0077559655584245,0.008977666105542018,0.13065075874328613,0.6023890972137451,2,0.82,0.7330398559570312
4,10000,2.3431808255795023e-06,2.3431808237142337e-06,0.008976221084594727,0.005984067916870117,2,0.4,0.014960289001464844
4,100000,0.1819430547930735,0.17445253640993788,0.0029921531677246094,0.005983591079711914,2,0.67,0.008975744247436523
4,1000000,0.15489319733522136,0.08258307463792577,0.02593088150024414,0.07480001449584961,2,0.74,0.10073089599609375
4,10000000,1.3676636039631984,0.2943507110805423,0.2622983455657959,0.7569763660430908,2,0.74,1.0192747116088867
6,10000,1.2609507050605336e-46,1.2609507050605338e-46,0.018949270248413086,0.007978677749633789,2,0.3,0.026927947998046875
6,100000,2.678532058434583e-16,2.6785320584345823e-16,0.003989458084106445,0.007979154586791992,2,0.67,0.011968612670898438
6,1000000,4.5506687627250734e-07,4.253841803365272e-07,0.038895606994628906,0.08676838874816895,2,0.69,0.12566399574279785
6,10000000,0.41826062902203937,0.4145075263043478,0.3969380855560303,0.8946082592010498,2,0.69,1.29154634475708
8,10000,1.0909380469685056e-95,1.0909380469685054e-95,0.037899017333984375,0.00698089599609375,2,0.16,0.044879913330078125
8,100000,5.211695085462886e-94,5.211694991469008e-94,0.005984067916870117,0.008975982666015625,2,0.6,0.014960050582885742
8,1000000,1.7212899179315871e-31,1.7212865754577547e-31,0.052858829498291016,0.09873580932617188,2,0.65,0.1515946388244629
8,10000000,2.0059778204405332e-11,2.005977820440552e-11,0.5236001014709473,0.9813761711120605,2,0.65,1.5049762725830078
2,10000,0.9070539171707597,0.2635784677169839,0.04288530349731445,0.00797891616821289,3,0.16,0.050864219665527344
2,100000,1.1183510750498886,0.09649499029922927,0.001994609832763672,0.004986763000488281,3,0.71,0.006981372833251953
2,1000000,1.005451889801845,0.028379174738222254,0.012965202331542969,0.060837507247924805,3,0.82,0.07380270957946777
2,10000000,0.9998369732500987,0.008930682638812219,0.13164782524108887,0.6023893356323242,3,0.82,0.7340371608734131
4,10000,1.2828920386296567e-05,1.2828920384517084e-05,0.009973526000976562,0.00498652458190918,3,0.33,0.014960050582885742
4,100000,0.5812514681042023,0.5809493697049412,0.0029921531677246094,0.0069811344146728516,3,0.7,0.009973287582397461
4,1000000,2.6360105900325705,1.2668555475200491,0.02593088150024414,0.07480001449584961,3,0.74,0.10073089599609375
4,10000000,1.0918176864850173,0.2595813278500539,0.26329565048217773,0.763958215713501,3,0.74,1.0272538661956787
6,10000,5.986441345771704e-48,5.986441345771704e-48,0.02094411849975586,0.007977962493896484,3,0.28,0.028922080993652344
6,100000,2.1334016805740734e-30,2.1334011187260143e-30,0.003989458084106445,0.007978677749633789,3,0.67,0.011968135833740234
6,1000000,1.3202655436021508e-10,1.0764777225988374e-10,0.039893388748168945,0.09075784683227539,3,0.69,0.13065123558044434
6,10000000,0.00037921173615850775,0.00023914196881482882,0.3979353904724121,0.8976004123687744,3,0.69,1.2955358028411865
8,10000,8.076119322368784e-154,8.076116089575691e-154,0.029920101165771484,0.007978439331054688,3,0.21,0.03789854049682617
8,100000,1.7646933248063922e-53,1.764693324806392e-53,0.005984067916870117,0.008975982666015625,3,0.6,0.014960050582885742
