ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc,total_time
2,10000,0.9641164800355518,0.2577423870168785,0.0718073844909668,0.12765860557556152,1,0.64,0.19946599006652832
2,100000,1.0429064258050222,0.09251065859974124,0.0009975433349609375,0.0029916763305664062,1,0.75,0.003989219665527344
2,1000000,1.0601815629726008,0.029175502444129683,0.013962507247924805,0.03390979766845703,1,0.71,0.047872304916381836
2,10000000,0.9957186630945504,0.008896322164109188,0.13463973999023438,0.3171517848968506,1,0.7,0.45179152488708496
4,10000,1.2491010055859495e-15,1.0933673959340181e-15,0.0109710693359375,0.0069811344146728516,1,0.39,0.01795220375061035
4,100000,0.10470587934444604,0.08572733024888977,0.0029921531677246094,0.00598454475402832,1,0.67,0.00897669792175293
4,1000000,1.796665120937669,1.0261223618051367,0.03390860557556152,0.046875715255737305,1,0.58,0.08078432083129883
4,10000000,0.7425283774100311,0.20267555895232145,0.27725768089294434,0.46276283264160156,1,0.63,0.7400205135345459
6,10000,2.803123379352489e-92,2.563363483052071e-92,0.021941184997558594,0.008976459503173828,1,0.29,0.030917644500732422
6,100000,3.8344205583994974e-19,3.8344205582709464e-19,0.003988742828369141,0.006982088088989258,1,0.64,0.010970830917358398
6,1000000,2.0624458127424207e-10,2.062361316065254e-10,0.04188728332519531,0.06781888008117676,1,0.62,0.10970616340637207
6,10000000,1.5715778123042277e-06,9.570001143744348e-07,0.4079091548919678,0.5854349136352539,1,0.59,0.9933440685272217
8,10000,5.358956274619565e-137,5.358956274619143e-137,0.030917644500732422,0.008975744247436523,1,0.22,0.039893388748168945
8,100000,1.1329940930724195e-64,1.1329940626986853e-64,0.006981372833251953,0.008976221084594727,1,0.56,0.01595759391784668
8,1000000,1.066340339352512e-29,1.0663403393365146e-29,0.05385565757751465,0.07480072975158691,1,0.58,0.12865638732910156
8,10000000,2.4469031725665083e-20,2.446903172563418e-20,0.543546199798584,0.7400214672088623,1,0.58,1.2835676670074463
2,10000,1.3684128106469409,0.3533893884121088,0.042885780334472656,0.007978439331054688,2,0.16,0.050864219665527344
2,100000,0.8364429053764213,0.07783976481927912,0.001994609832763672,0.0029916763305664062,2,0.6,0.004986286163330078
2,1000000,1.0007695561003442,0.028501800685586564,0.016954660415649414,0.032912492752075195,2,0.66,0.04986715316772461
2,10000000,0.9802417292881556,0.008797862524316979,0.1545863151550293,0.2932162284851074,2,0.65,0.4478025436401367
4,10000,1.1974132143162446e-18,9.237663531839691e-19,0.010970592498779297,0.006981611251831055,2,0.39,0.01795220375061035
4,100000,0.09074440896729609,0.08931355271199745,0.0029916763305664062,0.00498652458190918,2,0.63,0.007978200912475586
4,1000000,0.2974592510653527,0.1443206708072669,0.026927947998046875,0.04488015174865723,2,0.63,0.0718080997467041
4,10000000,1.1458964801906346,0.2843211003630034,0.29421329498291016,0.4418191909790039,2,0.6,0.7360324859619141
6,10000,3.2284069229918205e-60,3.2281574090616165e-60,0.020943880081176758,0.007978677749633789,2,0.28,0.028922557830810547
6,100000,4.3133560702598675e-07,4.165676471145851e-07,0.004986763000488281,0.005983591079711914,2,0.55,0.010970354080200195
6,1000000,0.14029774654101076,0.14029695314704368,0.045877695083618164,0.06682133674621582,2,0.59,0.11269903182983398
6,10000000,0.0003051226890259009,0.00030122148733239217,0.4228692054748535,0.5884268283843994,2,0.58,1.011296033859253
