func,ndim,nitn,neval,res_mean,res_err,res_rel,total_time,pre_time,chi2,Q,run_num
f1,8,15,8388608,1.5153693481868764e-26,9.965699568367744e-27,1.003441848853354e+26,13.139,0.002,13.481041002976337,0.4890441601641312,2
f1,6,15,8388608,5.8495988203139395e-06,3.4272737429034056e-06,291775.39508531854,10.461,0.0,17.371620414980583,0.23691450288301075,2
f1,4,15,8388608,0.7075391828525603,0.05073833285041887,5.7640998573926385,7.601,0.0,44.93461806121673,4.180229846817429e-05,2
f1,2,15,8388608,1.0000000662977815,0.002513225554659733,2.637955887564567e-05,4.674,0.0,3.018964500517155e-08,1.0,2
